country,iso3,date,Year,Month,cases,source
Austria,AUT,2025-03-01T00:00:00Z,2025,3,0,WHO
Austria,AUT,2025-04-01T00:00:00Z,2025,4,0,WHO
Austria,AUT,2025-05-01T00:00:00Z,2025,5,0,WHO
Austria,AUT,2025-06-01T00:00:00Z,2025,6,0,WHO
Austria,AUT,2025-07-01T00:00:00Z,2025,7,0,WHO
Autonomous Region of Madeira,MDR,2025-01-01T00:00:00Z,2025,1,2,WHO
Autonomous Region of Madeira,MDR,2025-02-01T00:00:00Z,2025,2,0,WHO
Autonomous Region of Madeira,MDR,2025-03-01T00:00:00Z,2025,3,0,WHO
Autonomous Region of Madeira,MDR,2025-04-01T00:00:00Z,2025,4,0,WHO
Azerbaijan,AZE,2024-01-01T00:00:00Z,2024,1,0,WHO
Azerbaijan,AZE,2024-02-01T00:00:00Z,2024,2,0,WHO
Azerbaijan,AZE,2024-03-01T00:00:00Z,2024,3,0,WHO
Azerbaijan,AZE,2024-04-01T00:00:00Z,2024,4,0,WHO
Azerbaijan,AZE,2024-05-01T00:00:00Z,2024,5,0,WHO
Azerbaijan,AZE,2024-06-01T00:00:00Z,2024,6,0,WHO
Azerbaijan,AZE,2024-07-01T00:00:00Z,2024,7,0,WHO
Azerbaijan,AZE,2024-08-01T00:00:00Z,2024,8,0,WHO
Azerbaijan,AZE,2024-09-01T00:00:00Z,2024,9,0,WHO
Azerbaijan,AZE,2024-10-01T00:00:00Z,2024,10,0,WHO
Azerbaijan,AZE,2024-11-01T00:00:00Z,2024,11,0,WHO
Azerbaijan,AZE,2024-12-01T00:00:00Z,2024,12,0,WHO
Azerbaijan,AZE,2025-01-01T00:00:00Z,2025,1,0,WHO
Azerbaijan,AZE,2025-02-01T00:00:00Z,2025,2,0,WHO
Azerbaijan,AZE,2025-03-01T00:00:00Z,2025,3,0,WHO
Azerbaijan,AZE,2025-04-01T00:00:00Z,2025,4,0,WHO
Azerbaijan,AZE,2025-05-01T00:00:00Z,2025,5,0,WHO
Azerbaijan,AZE,2025-06-01T00:00:00Z,2025,6,0,WHO
Azerbaijan,AZE,2025-07-01T00:00:00Z,2025,7,0,WHO
Bahamas,BHS,2024-01-01T00:00:00Z,2024,1,0,WHO
Bahamas,BHS,2024-02-01T00:00:00Z,2024,2,0,WHO
Bahamas,BHS,2024-03-01T00:00:00Z,2024,3,NA,WHO
Bahamas,BHS,2024-04-01T00:00:00Z,2024,4,NA,WHO
Bahamas,BHS,2024-05-01T00:00:00Z,2024,5,NA,WHO
Bahamas,BHS,2024-06-01T00:00:00Z,2024,6,NA,WHO
Bahamas,BHS,2024-07-01T00:00:00Z,2024,7,NA,WHO
Bahamas,BHS,2024-08-01T00:00:00Z,2024,8,NA,WHO
Bahamas,BHS,2024-09-01T00:00:00Z,2024,9,NA,WHO
Bahamas,BHS,2024-10-01T00:00:00Z,2024,10,NA,WHO
Bahamas,BHS,2024-11-01T00:00:00Z,2024,11,NA,WHO
Bahamas,BHS,2024-12-01T00:00:00Z,2024,12,NA,WHO
Bahamas,BHS,2025-01-01T00:00:00Z,2025,1,NA,WHO
Bahamas,BHS,2025-02-01T00:00:00Z,2025,2,NA,WHO
Bahamas,BHS,2025-03-01T00:00:00Z,2025,3,NA,WHO
Bahamas,BHS,2025-04-01T00:00:00Z,2025,4,NA,WHO
Bahamas,BHS,2025-05-01T00:00:00Z,2025,5,NA,WHO
Bahamas,BHS,2025-06-01T00:00:00Z,2025,6,NA,WHO
Bahamas,BHS,2025-07-01T00:00:00Z,2025,7,NA,WHO
Bangladesh,BGD,2024-01-01T00:00:00Z,2024,1,1055,SEARO
Bangladesh,BGD,2024-02-01T00:00:00Z,2024,2,339,SEARO
Bangladesh,BGD,2024-03-01T00:00:00Z,2024,3,311,SEARO
Bangladesh,BGD,2024-04-01T00:00:00Z,2024,4,504,SEARO
Bangladesh,BGD,2024-05-01T00:00:00Z,2024,5,644,SEARO
Bangladesh,BGD,2024-06-01T00:00:00Z,2024,6,798,SEARO
Bangladesh,BGD,2024-07-01T00:00:00Z,2024,7,2669,SEARO
Bangladesh,BGD,2024-08-01T00:00:00Z,2024,8,6521,SEARO
Bangladesh,BGD,2024-09-01T00:00:00Z,2024,9,18097,SEARO
Bangladesh,BGD,2024-10-01T00:00:00Z,2024,10,30879,SEARO
Bangladesh,BGD,2024-11-01T00:00:00Z,2024,11,29652,SEARO
Bangladesh,BGD,2024-12-01T00:00:00Z,2024,12,9745,SEARO
Bangladesh,BGD,2025-01-01T00:00:00Z,2025,1,1161,SEARO
Bangladesh,BGD,2025-02-01T00:00:00Z,2025,2,374,SEARO
Bangladesh,BGD,2025-03-01T00:00:00Z,2025,3,336,SEARO
Bangladesh,BGD,2025-04-01T00:00:00Z,2025,4,701,SEARO
Bangladesh,BGD,2025-05-01T00:00:00Z,2025,5,1773,SEARO
Bangladesh,BGD,2025-06-01T00:00:00Z,2025,6,0,SEARO
Bangladesh,BGD,2025-07-01T00:00:00Z,2025,7,0,SEARO
Bangladesh,BGD,2025-08-01T00:00:00Z,2025,8,0,SEARO
Bangladesh,BGD,2025-09-01T00:00:00Z,2025,9,0,SEARO
Bangladesh,BGD,2025-10-01T00:00:00Z,2025,10,0,SEARO
Bangladesh,BGD,2025-11-01T00:00:00Z,2025,11,0,SEARO
