"iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion","Year","date","cases","source","Data_status","Predicted_total_seasonal_cases","cum_todate_cases_calendar","cum_todate_cases_season","percentile_most_recent","Country","Region.x","Region.y","country"
"AUS",1,5,1089876.14655621,170.5,170.5,509.333333333333,0.405244526086728,0.124349127223473,2024,"2024-01-01",132,"WHO","Observed",326,132,NA,100,"Australia","Pacific Islands","Pacific Islands","Australia"
"BES",9,5,1.63630178653306,19,19,68.3333333333333,0.149969260253467,0.042162390642373,2025,"2025-09-01",368,"Estimates","Unobserved",2454,6715,NA,100,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",6,2,1.50633582659454,9.66666666666667,9.66666666666667,19.6666666666667,0.0430795204977544,0.0212700730859861,2024,"2024-06-01",NA,NA,"Unobserved",NA,NA,NA,4.88780784009216,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",4,12,1.92903586728956,17.3333333333333,17.3333333333333,463.666666666667,1,0.0367172569724009,2025,"2025-04-01",320,"Estimates","Unobserved",320,5408,NA,99.9999999999948,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",3,11,1.90117821089333,82,82,446.333333333333,0.963282743027599,0.176564046043649,2025,"2025-03-01",1539,"Estimates","Unobserved",1598,5088,NA,99.9999999999997,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",8,4,1.66503033832786,15,15,49.3333333333333,0.107806869611094,0.0329786719889494,2025,"2025-08-01",287,"Estimates","Unobserved",2662,6347,NA,100,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",10,6,1.36746289473781,29,29,97.3333333333333,0.213250477768832,0.0632812175153645,2025,"2025-10-01",552,"Estimates","Unobserved",2589,7267,NA,100,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",1,9,1.65634512754229,108.333333333333,108.333333333333,281,0.607997153637172,0.228373411554761,2024,"2024-01-01",89,"PAHO","Observed",146,89,NA,74.5847319165843,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",12,8,1.3152467264417,45,45,172.666666666667,0.379623742082412,0.0993254715902822,2024,"2024-12-01",NA,NA,"Unobserved",NA,NA,NA,0.924029538786491,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",5,1,1.68793759085755,10,10,10,0.0218094474117682,0.0218094474117682,2024,"2024-05-01",NA,NA,"Unobserved",NA,NA,NA,3.81494672499407,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",11,7,1.41819850347456,30.3333333333334,30.3333333333333,127.666666666667,0.280298270492129,0.0670477927232976,2025,"2025-11-01",584,"Estimates","Unobserved",2083,7851,NA,100,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",8,4,1.66503033832786,15,15,49.3333333333333,0.107806869611094,0.0329786719889494,2024,"2024-08-01",NA,NA,"Unobserved",NA,NA,NA,2.15938639504756,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",1,9,1.65634512754229,108.333333333333,108.333333333333,281,0.607997153637172,0.228373411554761,2025,"2025-01-01",1991,"Estimates","Unobserved",3275,1991,NA,100,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",12,8,1.3152467264417,45,45,172.666666666667,0.379623742082412,0.0993254715902822,2025,"2025-12-01",NA,NA,"Unobserved",NA,NA,NA,0.924029538786491,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",10,6,1.36746289473781,29,29,97.3333333333333,0.213250477768832,0.0632812175153645,2024,"2024-10-01",NA,NA,"Unobserved",NA,NA,NA,1.44118867592527,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",4,12,1.92903586728956,17.3333333333333,17.3333333333333,463.666666666667,1,0.0367172569724009,2024,"2024-04-01",NA,NA,"Unobserved",NA,NA,NA,1.18081152350851,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",7,3,1.12196619576794,14.6666666666667,14.6666666666667,34.3333333333333,0.0748281976221449,0.0317486771243905,2024,"2024-07-01",NA,NA,"Unobserved",NA,NA,NA,5.14722989072053,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",2,10,1.85564289869824,83.3333333333333,83.3333333333333,364.333333333333,0.78671869698395,0.178721543346778,2024,"2024-02-01",63,"PAHO","Observed",80,152,NA,57.9788938084005,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",5,1,1.68793759085755,10,10,10,0.0218094474117682,0.0218094474117682,2025,"2025-05-01",190,"Estimates","Unobserved",8712,5598,NA,100,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
"BES",11,7,1.41819850347456,30.3333333333334,30.3333333333333,127.666666666667,0.280298270492129,0.0670477927232976,2024,"2024-11-01",NA,NA,"Unobserved",NA,NA,NA,1.21728646568351,"Bonaire, Saint Eustatius And Saba","Caribbean","Caribbean","Bonaire, Saint Eustatius And Saba"
