window_type,origin_date,iso3,region,train_start,train_end,n_train_months,n_gap_in_window,n_targets_with_truth,eligible
expanding,2016-03-01,CYM,Caribbean,2012-04-01,2016-03-01,48,0,6,TRUE
expanding,2016-03-01,DMA,Caribbean,2010-04-01,2016-03-01,60,12,6,TRUE
expanding,2016-03-01,DOM,Caribbean,2010-03-01,2016-03-01,73,0,6,TRUE
expanding,2016-03-01,GLP,Caribbean,2010-04-01,2016-03-01,72,0,6,TRUE
expanding,2016-03-01,GRD,Caribbean,2010-03-01,2016-03-01,61,12,6,TRUE
expanding,2016-03-01,HTI,Caribbean,2018-05-01,2016-03-01,0,0,0,FALSE
expanding,2016-03-01,JAM,Caribbean,2010-05-01,2016-03-01,71,0,6,TRUE
expanding,2016-03-01,KNA,Caribbean,2013-04-01,2016-03-01,24,12,6,FALSE
expanding,2016-03-01,LCA,Caribbean,2010-03-01,2016-03-01,61,12,6,TRUE
expanding,2016-03-01,MAF,Caribbean,2010-06-01,2016-03-01,70,0,6,TRUE
expanding,2016-03-01,MTQ,Caribbean,2010-05-01,2016-03-01,71,0,6,TRUE
expanding,2016-03-01,PRI,Caribbean,2010-04-01,2016-03-01,72,0,0,FALSE
expanding,2016-03-01,SXM,Caribbean,2010-04-01,2016-03-01,36,36,0,FALSE
expanding,2016-03-01,TCA,Caribbean,2013-05-01,2016-03-01,35,0,6,FALSE
expanding,2016-03-01,TTO,Caribbean,2010-04-01,2016-03-01,36,36,6,TRUE
expanding,2016-03-01,VCT,Caribbean,2010-04-01,2016-03-01,60,12,6,TRUE
expanding,2016-03-01,VGB,Caribbean,2010-04-01,2016-03-01,72,0,6,TRUE
expanding,2016-03-01,ARG,South America,2010-08-01,2016-03-01,68,0,6,TRUE
expanding,2016-03-01,BOL,South America,2010-08-01,2016-03-01,68,0,6,TRUE
expanding,2016-03-01,BRA,South America,2010-10-01,2016-03-01,66,0,6,TRUE
expanding,2016-03-01,CHL,South America,2012-04-01,2016-03-01,36,12,0,FALSE
expanding,2016-03-01,COL,South America,2010-02-01,2016-03-01,74,0,6,TRUE
expanding,2016-03-01,ECU,South America,2010-11-01,2016-03-01,65,0,6,TRUE
expanding,2016-03-01,GUF,South America,2010-10-01,2016-03-01,66,0,6,TRUE
expanding,2016-03-01,GUY,South America,2010-01-01,2016-03-01,75,0,6,TRUE
expanding,2016-03-01,PER,South America,2010-09-01,2016-03-01,67,0,6,TRUE
expanding,2016-03-01,PRY,South America,2010-07-01,2016-03-01,69,0,6,TRUE
expanding,2016-03-01,SUR,South America,2010-04-01,2016-03-01,36,36,0,FALSE
expanding,2016-03-01,URY,South America,2015-04-01,2016-03-01,12,0,0,FALSE
expanding,2016-03-01,VEN,South America,2010-04-01,2016-03-01,72,0,6,TRUE
expanding,2016-03-01,OMN,"Europe, Middle East & North Africa",2018-04-01,2016-03-01,0,0,0,FALSE
expanding,2016-03-01,SAU,"Europe, Middle East & North Africa",2010-10-01,2016-03-01,66,0,6,TRUE
expanding,2016-03-01,SDN,"Europe, Middle East & North Africa",2010-05-01,2016-03-01,47,24,1,TRUE
expanding,2016-03-01,YEM,"Europe, Middle East & North Africa",2015-04-01,2016-03-01,12,0,0,FALSE
expanding,2016-03-01,BFA,Sub-Saharan Africa,2015-05-01,2016-03-01,11,0,6,FALSE
expanding,2016-03-01,CIV,Sub-Saharan Africa,2022-02-01,2016-03-01,0,0,0,FALSE
expanding,2016-03-01,ERI,Sub-Saharan Africa,2010-07-01,2016-03-01,60,9,0,FALSE
expanding,2016-03-01,ETH,Sub-Saharan Africa,2013-05-01,2016-03-01,12,23,0,FALSE
expanding,2016-03-01,KEN,Sub-Saharan Africa,2013-03-01,2016-03-01,37,0,6,TRUE
expanding,2016-03-01,MRT,Sub-Saharan Africa,2017-05-01,2016-03-01,0,0,0,FALSE
expanding,2016-03-01,REU,Sub-Saharan Africa,2010-11-01,2016-03-01,29,36,6,FALSE
expanding,2016-03-01,SEN,Sub-Saharan Africa,2017-05-01,2016-03-01,0,0,0,FALSE
expanding,2016-03-01,SYC,Sub-Saharan Africa,2016-07-01,2016-03-01,0,0,3,FALSE
expanding,2016-03-01,AFG,South Asia,2021-03-01,2016-03-01,0,0,0,FALSE
expanding,2016-03-01,BGD,South Asia,2010-03-01,2016-03-01,73,0,6,TRUE
expanding,2016-03-01,BTN,South Asia,2010-03-01,2016-03-01,37,36,6,TRUE
expanding,2016-03-01,IND,South Asia,2010-04-01,2016-03-01,72,0,6,TRUE
expanding,2016-03-01,LKA,South Asia,2010-02-01,2016-03-01,74,0,6,TRUE
expanding,2016-03-01,MDV,South Asia,2010-02-01,2016-03-01,74,0,6,TRUE
expanding,2016-03-01,NPL,South Asia,2010-03-01,2016-03-01,73,0,6,TRUE
expanding,2016-03-01,PAK,South Asia,2010-03-01,2016-03-01,73,0,6,TRUE
expanding,2016-03-01,BRN,East & Southeast Asia,2010-05-01,2016-03-01,71,0,6,TRUE
expanding,2016-03-01,CHN,East & Southeast Asia,2010-03-01,2016-03-01,73,0,6,TRUE
expanding,2016-03-01,IDN,East & Southeast Asia,2010-10-01,2016-03-01,66,0,6,TRUE
expanding,2016-03-01,KHM,East & Southeast Asia,2010-02-01,2016-03-01,74,0,6,TRUE
expanding,2016-03-01,LAO,East & Southeast Asia,2010-02-01,2016-03-01,74,0,6,TRUE
expanding,2016-03-01,MMR,East & Southeast Asia,2010-02-01,2016-03-01,74,0,6,TRUE
expanding,2016-03-01,MYS,East & Southeast Asia,2010-02-01,2016-03-01,74,0,6,TRUE
expanding,2016-03-01,PHL,East & Southeast Asia,2010-04-01,2016-03-01,72,0,6,TRUE
expanding,2016-03-01,SGP,East & Southeast Asia,2010-02-01,2016-03-01,74,0,6,TRUE
expanding,2016-03-01,THA,East & Southeast Asia,2010-02-01,2016-03-01,74,0,6,TRUE
expanding,2016-03-01,TLS,East & Southeast Asia,2010-09-01,2016-03-01,67,0,6,TRUE
expanding,2016-03-01,TWN,East & Southeast Asia,2010-03-01,2016-03-01,72,1,0,FALSE
expanding,2016-03-01,VNM,East & Southeast Asia,2010-03-01,2016-03-01,73,0,6,TRUE
expanding,2016-03-01,AUS,Pacific Islands,2010-09-01,2016-03-01,67,0,6,TRUE
expanding,2016-03-01,COK,Pacific Islands,2014-01-01,2016-03-01,24,3,0,FALSE
