"","country","d","mean_ratio","mean_RMSE","rf"
"320","Dominica",12,8.62410048194362,11805.8576543369,0.115954122066842
"321","Dominica",13,8.42542016806723,11788.3902155824,0.118688442837551
"322","Dominica",14,8.225,11825.3210644546,0.121580547112462
"323","Dominica",15,8,11801.080533156,0.125
"324","Dominica",16,8,11775.2837357405,0.125
"325","Dominica",17,8,11800.1331219494,0.125
"326","Dominica",18,8,11776.8493253099,0.125
"327","Dominica",19,8,11825.3210644546,0.125
"328","Dominica",20,8,11792.4232005494,0.125
"329","Dominica",21,8,11792.4232005494,0.125
"330","Dominica",22,8,11789.6381459055,0.125
"331","Dominica",23,8,11754.8167166077,0.125
"332","Dominica",24,8,11825.3210644546,0.125
"333","Dominica",25,8,11825.3210644546,0.125
"334","Dominica",26,8,11825.3210644546,0.125
"335","Dominica",27,8,11611.2235531601,0.125
"336","Dominica",28,NA,11049.7732381389,NA
"337","Dominican Republic",0,0.73018528425183,11786.1614158957,1.36951541145427
"338","Dominican Republic",1,0.784855116901989,11793.1542102812,1.27412050767693
"339","Dominican Republic",2,0.833841170896082,11809.4619895439,1.19926915928768
"340","Dominican Republic",3,0.884692832361672,11793.1542102812,1.13033582212994
"341","Dominican Republic",4,0.937896403314092,11809.4393370521,1.06621583840866
"342","Dominican Republic",5,0.973434608749713,11809.4393370521,1.02729037062326
"343","Dominican Republic",6,0.991505976714356,11809.4619895439,1.00856678979767
"344","Dominican Republic",7,0.995726054081492,11809.4619895439,1.00429229093784
"345","Dominican Republic",8,0.997404765252308,11795.492301904,1.00260198751611
"346","Dominican Republic",9,0.99871198568873,11825.3210644546,1.00128967543168
"347","Dominican Republic",10,1,11806.1306438432,1
"348","Dominican Republic",11,1,11786.1614158957,1
"349","Dominican Republic",12,1,11805.8576543369,1
"350","Dominican Republic",13,1,11788.3902155824,1
"351","Dominican Republic",14,1,11825.3210644546,1
"352","Dominican Republic",15,1,11801.080533156,1
"353","Dominican Republic",16,1,11775.2837357405,1
"354","Dominican Republic",17,1,11800.1331219494,1
"355","Dominican Republic",18,1,11776.8493253099,1
"356","Dominican Republic",19,1,11825.3210644546,1
"357","Dominican Republic",20,1,11792.4232005494,1
"358","Dominican Republic",21,1,11792.4232005494,1
"359","Dominican Republic",22,1,11789.6381459055,1
"360","Dominican Republic",23,1,11754.8167166077,1
"361","Dominican Republic",24,1,11825.3210644546,1
"362","Dominican Republic",25,1,11825.3210644546,1
"363","Dominican Republic",26,1,11825.3210644546,1
"364","Dominican Republic",27,1,11611.2235531601,1
"365","Dominican Republic",28,NA,11049.7732381389,NA
"366","Ecuador",0,0.923920897443884,11786.1614158957,1.08234374042907
"367","Ecuador",1,0.941221999523321,11793.1542102812,1.06244860458685
"368","Ecuador",2,0.955112686866361,11809.4619895439,1.04699687665223
"369","Ecuador",3,0.971688476232227,11793.1542102812,1.02913642022138
