"","country","iso3","Year","Month","date","cases","source"
"3773","Solomon Islands","SLB",2025,5,2025-05-01,28,"WHO"
"3774","Solomon Islands","SLB",2025,6,2025-06-01,13,"WHO"
"3775","Solomon Islands","SLB",2025,7,2025-07-01,5,"WHO"
"3776","Solomon Islands","SLB",2025,8,2025-08-01,23,"WHO"
"3777","Solomon Islands","SLB",2025,9,2025-09-01,20,"WHO"
"3778","Solomon Islands","SLB",2025,10,2025-10-01,30,"WHO"
"3779","Solomon Islands","SLB",2025,11,2025-11-01,14,"WHO"
"3780","Solomon Islands","SLB",2025,12,2025-12-01,16,"WHO"
"3781","Solomon Islands","SLB",2026,1,2026-01-01,20,"WHO"
"3782","Solomon Islands","SLB",2026,2,2026-02-01,24,"WHO"
"3783","Solomon Islands","SLB",2026,3,2026-03-01,NA,NA
"3784","Solomon Islands","SLB",2026,4,2026-04-01,NA,NA
"3785","Solomon Islands","SLB",2026,5,2026-05-01,NA,NA
"3786","Solomon Islands","SLB",2026,6,2026-06-01,NA,NA
"3787","Solomon Islands","SLB",2026,7,2026-07-01,NA,NA
"3788","Solomon Islands","SLB",2026,8,2026-08-01,NA,NA
"3789","Solomon Islands","SLB",2026,9,2026-09-01,NA,NA
"3790","Solomon Islands","SLB",2026,10,2026-10-01,NA,NA
"3791","Solomon Islands","SLB",2026,11,2026-11-01,NA,NA
"3792","Solomon Islands","SLB",2026,12,2026-12-01,NA,NA
"3793","South Africa","ZAF",2025,1,2025-01-01,NA,NA
"3794","South Africa","ZAF",2025,2,2025-02-01,NA,NA
"3795","South Africa","ZAF",2025,3,2025-03-01,NA,NA
"3796","South Africa","ZAF",2025,4,2025-04-01,NA,NA
"3797","South Africa","ZAF",2025,5,2025-05-01,NA,NA
"3798","South Africa","ZAF",2025,6,2025-06-01,NA,NA
"3799","South Africa","ZAF",2025,7,2025-07-01,NA,NA
"3800","South Africa","ZAF",2025,8,2025-08-01,NA,NA
"3801","South Africa","ZAF",2025,9,2025-09-01,NA,NA
"3802","South Africa","ZAF",2025,10,2025-10-01,NA,NA
