model,window_type,stratum_axis,lead_time,stratum_value,n_obs,n_seasons,thin_evidence,crps,crps_log,dispersion,dispersion_log,overprediction,overprediction_log,underprediction,underprediction_log,bias,coverage_50,coverage_90,uMAE,uRMSE
glm_ar1,expanding,endemicity,3,endemic,909,480,FALSE,8529.198789878987,0.891696224917087,347.3046204620463,0.23649784140140417,361.2935093509351,0.4847555602215827,7820.600660065965,0.17044282329410046,0.2925192519251928,0.37403740374037403,0.7007700770077008,2.597264713214462,6.413162290552887
glm_ar1,expanding,endemicity,4,emerging,565,330,FALSE,686.3703362831859,1.9063674901785652,131.78626548672565,0.24743546136360925,152.1221238938053,1.5810963899946855,402.46194690265435,0.07783563882027054,0.7385840707964603,0.16460176991150444,0.4690265486725664,21.724421403800953,53.14873360457515
glm_ar1,expanding,endemicity,4,endemic,908,480,FALSE,6603.542158590307,0.9928998485199604,324.26484581497806,0.23631987024262416,451.1839207048457,0.5808586395788536,5828.093392070509,0.17572133869848267,0.27588105726872336,0.31387665198237885,0.6784140969162996,2.910220622189392,6.3868168726297565
glm_ar1,expanding,endemicity,5,emerging,562,331,FALSE,547.8611032028471,2.259527527436507,165.25362989323844,0.24708205324478955,229.13523131672596,1.953571622728218,153.47224199288266,0.05887385146349948,0.7980427046263346,0.12277580071174377,0.3932384341637011,38.179628735045384,85.18674489456079
glm_ar1,expanding,endemicity,5,endemic,907,480,FALSE,4263.4393384785,1.1155297940024873,319.17914002205083,0.23618243830154564,583.2756339581026,0.701952949741749,3360.984564498358,0.17739440595919254,0.3200661521499441,0.2822491730981257,0.6405733186328556,3.515509250703825,7.156289257233164
glm_ar1,expanding,endemicity,6,emerging,559,330,FALSE,686.4080500894455,2.3783578407513057,200.34364937388193,0.24707849988923078,287.7474060822898,2.06302691927415,198.31699463327345,0.06825242158792517,0.7744186046511627,0.11806797853309481,0.39177101967799643,43.03580379796213,105.05508410342381
glm_ar1,expanding,endemicity,6,endemic,906,480,FALSE,5728.210264900662,1.2490545698791469,322.24602649006624,0.2362921168827862,582.0178807947005,0.7711554367890601,4823.946357615903,0.24160701620730093,0.2689845474613681,0.25938189845474613,0.5849889624724062,5.340101764505713,13.292994430235956
nowcast,expanding,endemicity,1,emerging,510,270,FALSE,338.8408627450981,0.8610445290058389,150.79145098039214,0.19695659367826499,72.89529411764715,0.40268726943289856,115.15411764705897,0.26140066589467537,0.019607843137254954,0.40588235294117647,0.7215686274509804,1.2656172851378278,3.0687822847676824
nowcast,expanding,endemicity,1,endemic,900,471,FALSE,2621.70471111111,0.546988128013238,798.3524888888887,0.13502616204434012,645.0253333333333,0.26131985239849487,1178.326888888886,0.150642113570403,0.07088888888888897,0.38222222222222224,0.7477777777777778,0.7092959065423993,1.444355193970314
nowcast,expanding,endemicity,2,emerging,510,272,FALSE,543.9078431372551,0.943825147684623,268.5094117647058,0.20981694647415364,127.51725490196073,0.4173075893425623,147.88117647058803,0.3167006118679072,0.01509803921568614,0.4,0.6980392156862745,1.4317554170350162,3.7191765495095486
nowcast,expanding,endemicity,2,endemic,900,471,FALSE,4486.178288888889,0.6297238077524708,1584.7725111111113,0.11698128517430055,1114.9193333333349,0.3161146887206983,1786.4864444444486,0.19662783385747196,0.02744444444444443,0.3333333333333333,0.6266666666666667,0.7464153999533343,1.447905472548162
nowcast,expanding,endemicity,3,emerging,509,278,FALSE,1307.2187426326132,1.0221464154485762,648.6643222003929,0.19668917355898144,372.19842829076663,0.47755141551835734,286.35599214145356,0.34790582637123757,0.052652259332023485,0.3693516699410609,0.6345776031434185,1.459000156026438,3.980105097429586
nowcast,expanding,endemicity,3,endemic,895,471,FALSE,4999.892402234637,0.7040825648137108,2092.3482681564237,0.11933936076038011,1485.6954189944156,0.3775467984909774,1421.8487150838005,0.20719640556235336,0.07608938547486065,0.288268156424581,0.6078212290502794,0.9966342402870552,2.6925481012579375
nowcast,expanding,endemicity,4,emerging,507,281,FALSE,966.9221301775153,1.1220367283567516,446.41562130177533,0.19363318653533557,275.09546351084765,0.5754295713612795,245.41104536489195,0.35297397046013657,0.11143984220907294,0.28205128205128205,0.6094674556213018,1.5834434535225896,4.210165904380299
nowcast,expanding,endemicity,4,endemic,895,471,FALSE,4135.166145251396,0.7405837549866338,1379.4953072625694,0.12353166007185054,1299.0165363128451,0.4135474777017683,1456.6543016759779,0.2035046172130147,0.09810055865921778,0.30726256983240224,0.6022346368715084,1.0164530612189777,2.796864298489023
nowcast,expanding,endemicity,5,emerging,505,282,FALSE,492.2630495049505,1.119637921848536,233.10384158415843,0.20090111539871833,138.76554455445554,0.5767613175172368,120.39366336633663,0.3419754889325809,0.1257425742574257,0.297029702970297,0.5861386138613861,1.3748900808595328,2.6123911771978308
nowcast,expanding,endemicity,5,endemic,895,471,FALSE,2826.909944134078,0.7910235349093436,794.9535195530729,0.12415711587694749,803.7606703910625,0.4473768604545415,1228.195754189943,0.2194895585778544,0.12860335195530764,0.2737430167597765,0.5854748603351956,1.1334113835425088,3.248964562507941
nowcast,expanding,endemicity,6,emerging,516,291,FALSE,459.7844186046512,1.222083458074659,175.65108527131784,0.22949163983223714,111.2038759689922,0.6220077388401528,172.92945736434086,0.3705840794022689,0.15290697674418607,0.3023255813953488,0.6085271317829457,1.576100460223097,3.4323466262109688
nowcast,expanding,endemicity,6,endemic,897,473,FALSE,4147.920423634338,0.8549269519052309,1215.087647714604,0.16707840233657678,895.3895206243034,0.44056953109752106,2037.4432552954256,0.24727901847113323,0.12095875139353403,0.32441471571906355,0.6120401337792643,1.2044060384810993,2.689211658491503
glm_ar1,expanding,size_class,1,continental,78,41,FALSE,37261.52051282051,0.6340935103858947,2353.1384615384613,0.22812421980946296,320.0487179487181,0.23053184506310687,34588.33333333333,0.17543744551332482,0.16410256410256407,0.4230769230769231,0.7435897435897436,1.3537215201962554,2.5284150143495
glm_ar1,expanding,size_class,1,large,186,97,FALSE,2401.6121505376345,0.5501921704762022,672.251935483871,0.23617141854182314,193.28064516129047,0.17471866407485684,1536.0795698924733,0.13930208785952206,-0.0016129032258063159,0.5,0.7795698924731183,0.9365966225018139,2.3428122191858227
glm_ar1,expanding,size_class,1,medium,473,251,FALSE,1378.0828329809726,0.5078058214509548,464.9344186046512,0.2390830483231297,162.94630021141649,0.20284203741599968,750.2021141649054,0.06588073571182526,0.24038054968287528,0.6131078224101479,0.8266384778012685,1.0019163749972513,2.493181557047556
glm_ar1,expanding,size_class,1,small,158,82,FALSE,672.2787341772151,0.5625969527136795,209.49772151898736,0.2372160787745177,415.5367088607594,0.28082532541468036,47.24430379746831,0.04455554852448142,0.4696202531645571,0.6582278481012658,0.8481012658227848,1.764286906434039,8.075094466423423
glm_ar1,expanding,size_class,1,very_small,638,337,FALSE,91.83489028213167,0.6863230826882915,47.733009404388696,0.23302993496157842,27.084012539184958,0.4159175753271902,17.017868338558024,0.03737557239952276,0.5390282131661442,0.5,0.85423197492163,1.963899946252961,4.503653419287713
glm_ar1,expanding,size_class,2,continental,76,41,FALSE,81129.69157894736,1.0557021646501943,1064.6968421052632,0.23149058673517106,304.4421052631578,0.4154240074820368,79760.55263157898,0.40878757043298625,0.17368421052631575,0.2236842105263158,0.5789473684210527,2.928993856311102,5.5402816338962895
glm_ar1,expanding,size_class,2,large,186,97,FALSE,5951.809677419354,0.7907115340493928,514.9505376344085,0.23735393742757982,255.09032258064485,0.2784869528229651,5181.768817204301,0.27487064379884796,-0.10591397849462374,0.3548387096774194,0.6935483870967742,1.3973533332188646,2.8217323816108615
glm_ar1,expanding,size_class,2,medium,470,251,FALSE,2064.1299574468085,0.7381662532992689,375.20782978723406,0.2416531313948895,274.4476595744679,0.35181697624935004,1414.4744680851074,0.14469614565502945,0.25510638297872323,0.4595744680851064,0.7680851063829788,1.9324364228925284,5.368839728979089
glm_ar1,expanding,size_class,2,small,154,82,FALSE,855.6684415584417,0.8056235995161873,209.20350649350647,0.23871601530873748,556.4584415584419,0.5186483245389502,90.00649350649341,0.048259259668499685,0.5383116883116882,0.5324675324675324,0.7857142857142857,1.9776895046646128,5.236246178249604
glm_ar1,expanding,size_class,2,very_small,635,338,FALSE,162.61792125984252,1.0580822367387446,66.89130708661418,0.24029880453913938,57.91622047244095,0.785601480040027,37.81039370078749,0.032181952159578295,0.6683464566929135,0.27874015748031494,0.7716535433070866,5.947880070601092,15.47170871045609
glm_ar1,expanding,size_class,3,continental,76,41,FALSE,75250.70105263157,1.3551360708840114,619.53,0.23165890565865582,159.3368421052632,0.5965834205455196,74471.83421052634,0.5268937446798361,0.1789473684210526,0.11842105263157894,0.47368421052631576,4.5228994753299725,7.3823750548031315
glm_ar1,expanding,size_class,3,large,184,97,FALSE,6211.40347826087,0.9289144884475963,435.3480434782609,0.23706024863414366,303.3152173913046,0.3070263776575921,5472.740217391303,0.38482786215586035,-0.12663043478260877,0.31521739130434784,0.6032608695652174,1.6886485102119855,3.5409626820819726
glm_ar1,expanding,size_class,3,medium,461,247,FALSE,2220.966203904555,0.8686764242488659,340.0455965292842,0.24118204204297433,360.14793926247256,0.4609987977474414,1520.7726681127995,0.16649558445845025,0.24446854663774395,0.42516268980477223,0.7180043383947939,3.137666091122806,10.47596851838815
glm_ar1,expanding,size_class,3,small,152,83,FALSE,952.8494736842107,0.9688789266472185,219.02052631578948,0.23869686775221605,575.1368421052631,0.6655648550479168,158.6921052631579,0.06461720384708565,0.5999999999999999,0.375,0.7368421052631579,2.9737558014727323,6.333939007901757
glm_ar1,expanding,size_class,3,very_small,614,341,FALSE,242.36592833876225,1.4540415308388437,94.29166123778502,0.24288350292231922,106.62964169381107,1.1841833657974514,41.444625407165994,0.02697466211907329,0.7491856677524429,0.20521172638436483,0.6091205211726385,13.672806271586916,37.210154474274425
glm_ar1,expanding,size_class,4,continental,76,41,FALSE,56594.6294736842,1.5227431880861642,446.23210526315785,0.23142895523449122,303.2578947368421,0.7656184275303276,55845.13947368421,0.5256958053213454,0.3671052631578949,0.11842105263157894,0.4868421052631579,6.143024925311782,9.336580096919775
glm_ar1,expanding,size_class,4,large,181,98,FALSE,4113.251933701657,0.889697741196892,400.49060773480664,0.23763885337722984,358.3999999999994,0.3149547001472546,3354.361325966851,0.3371041876724077,-0.18508287292817652,0.2541436464088398,0.6022099447513812,1.469104893985215,2.7942243072022626
glm_ar1,expanding,size_class,4,medium,459,248,FALSE,2145.680392156863,0.9661847146077888,328.26993464052293,0.2410061131348643,463.28235294117525,0.5436384500810159,1354.1281045751625,0.18154015139190846,0.19368191721132894,0.3790849673202614,0.673202614379085,5.37658212613676,21.165421274626038
glm_ar1,expanding,size_class,4,small,151,83,FALSE,1023.746225165563,1.1863564576273304,234.9051655629139,0.23821530099247704,633.7801324503312,0.8899396556735253,155.06092715231784,0.05820150096132806,0.5834437086092716,0.33774834437086093,0.7086092715231788,4.059319034100002,8.881577249370189
glm_ar1,expanding,size_class,4,very_small,606,340,FALSE,327.84174917491754,1.7809708116322205,125.97805280528053,0.24288106998824305,163.95808580858085,1.5208487908774746,37.90561056105605,0.017240950766502675,0.819141914191419,0.1617161716171617,0.5264026402640264,18.322099286987815,48.192986174719294
