iso3,origin_date,horizon,target_date,model,window_type,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,dispersion_log,overprediction_log,underprediction_log,ae_median_log,crps,crps_log,.pred,actual,lead_time,squared_error,season,season_nMonth,region,seasonality_signal,endemicity,size_class,mean_actual_predicted_month,umae_row,urmse_sq_row
BRB,2016-01-01,2,2016-03-01,glm_ar1,expanding,196,0,171.45999999999998,0.9,FALSE,TRUE,822,0.2864631288808491,0.6200466918686063,0,2.0751952507983846,367.46000000000004,0.9065098207494554,939,117,2,675684,2015/2016,12,Caribbean,weak,endemic,very_small,58.6875,14.006389776357828,196.17895456726106
BRB,2016-01-01,3,2016-04-01,glm_ar1,expanding,292.6,0,219.95999999999998,0.9,FALSE,TRUE,1123,0.2870545330948214,0.9865870558309684,0,2.687515598660502,512.5600000000002,1.27364158892579,1204,81,3,1261129,2016/2017,1,Caribbean,weak,endemic,very_small,37.588235294117645,29.876369327073554,892.5974441677014
BRB,2016-01-01,4,2016-05-01,glm_ar1,expanding,363.4,0,262.98,0.9,FALSE,TRUE,1365,0.2875305128202511,1.1468309162917734,0,2.9549102790337365,626.3800000000001,1.4343614291120246,1439,74,4,1863225,2016/2017,2,Caribbean,weak,endemic,very_small,38.82352941176471,35.15909090909091,1236.1616735537189
BRB,2016-01-01,5,2016-06-01,glm_ar1,expanding,422,0,298.84000000000003,0.9,FALSE,TRUE,1566,0.2873579558539651,1.2648290530279647,0,3.1515142751133327,720.84,1.55218700888193,1635,69,5,2452356,2016/2017,3,Caribbean,weak,endemic,very_small,41.70588235294118,37.54866008462623,1409.9018741508032
BRB,2016-01-01,6,2016-07-01,glm_ar1,expanding,453.4,0,327.41999999999996,0.9,FALSE,TRUE,1701,0.2871610062781455,1.1560263588797666,0,2.9698568965560925,780.82,1.4431873651579121,1792,91,6,2893401,2016/2017,4,Caribbean,weak,endemic,very_small,43.58823529411764,39.02429149797572,1522.89532691898
BRN,2016-01-01,1,2016-02-01,glm_ar1,expanding,9.2,0,7.840000000000001,0.9,FALSE,TRUE,38,0.26470926930312655,0.6028162824444376,0,1.992430164690206,17.040000000000003,0.8675255517475643,43,5,1,1444,2015/2016,10,East & Southeast Asia,weak,emerging,very_small,26.928571428571427,1.4111405835543767,1.991317746554187
BRN,2016-01-01,2,2016-03-01,glm_ar1,expanding,35,0,24.5,0.9,FALSE,TRUE,129,0.28003568839891946,1.2529176061454426,0,3.1135153092103747,59.5,1.532953294544362,134,5,2,16641,2015/2016,11,East & Southeast Asia,weak,emerging,very_small,23.571428571428573,5.472727272727273,29.950743801652887
BRN,2016-01-01,3,2016-04-01,glm_ar1,expanding,78,0,54.739999999999995,0.9,FALSE,TRUE,288,0.28463839277235414,1.307066395615053,0,3.2188758248682006,132.74,1.5917047883874074,299,11,3,82944,2015/2016,12,East & Southeast Asia,weak,emerging,very_small,23.142857142857146,12.444444444444443,154.86419753086417
BRN,2016-01-01,4,2016-05-01,glm_ar1,expanding,149.4,0,97.04,1,FALSE,FALSE,525,0.2861065113007107,2.222797840315668,0,4.330733340286331,246.44000000000005,2.5089043516163785,531,6,4,275625,2016/2017,1,East & Southeast Asia,weak,emerging,very_small,27.928571428571427,18.797953964194374,353.36307323997096
BRN,2016-01-01,5,2016-06-01,glm_ar1,expanding,231.2,0,146.34,1,FALSE,FALSE,798,0.2871814275780714,3.1784885438812918,0,5.300814246746624,377.5400000000001,3.465669971459363,801,3,5,636804,2016/2017,2,East & Southeast Asia,weak,emerging,very_small,23.428571428571427,34.0609756097561,1160.1500594883998
