model,window_type,iso3,origin_date,n_months,peak_timing_diff,dtw_distance,season,region,seasonality_signal,endemicity,size_class
glm_ar1,expanding,BLM,2016-07-01,6,1,0.5521573587394406,2016/2017,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BLM,2017-01-01,2,NA,NA,2016/2017,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BLM,2019-07-01,6,0,1.406949479553349,2019/2020,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BLM,2020-01-01,6,0,0.8888269679501227,2019/2020,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BLM,2020-07-01,6,5,1.5843818561374292,2020/2021,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BLM,2021-01-01,2,NA,NA,2020/2021,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BLM,2022-07-01,6,2,2.212460470426046,2022/2023,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BLM,2023-01-01,6,1,1.5646673240096252,2022/2023,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BLM,2023-07-01,6,2,0.6307095388332057,2023/2024,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BLM,2024-01-01,6,5,3.4228554095879677,2023/2024,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BLM,2024-07-01,6,0,2.130612726536148,2024/2025,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BLM,2025-01-01,6,4,4.1907753454324075,2024/2025,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BLM,2025-07-01,6,2,3.3424437612980857,2025/2026,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BLM,2026-01-01,6,5,3.2471185296499545,2025/2026,Caribbean,moderate,emerging,very_small
glm_ar1,expanding,BLZ,2016-01-01,6,4,1.048455633009547,2015/2016,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2016-07-01,6,5,0.5062220289278024,2016/2017,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2017-01-01,6,5,0.6825187971023695,2016/2017,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2017-07-01,6,5,1.4417100404996528,2017/2018,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2018-01-01,6,0,0.13477488556482461,2017/2018,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2018-07-01,6,3,0.9079238366162888,2018/2019,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2019-01-01,6,0,0.2966517594629072,2018/2019,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2019-07-01,6,4,0.3472097922114849,2019/2020,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2020-01-01,6,4,1.4592510528138642,2019/2020,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2020-07-01,6,2,0.7994993238320282,2020/2021,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2021-01-01,6,0,0.9617844482085807,2020/2021,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2021-07-01,6,0,0.5784920329697182,2021/2022,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2022-01-01,6,2,0.6700038911971151,2021/2022,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2022-07-01,6,3,1.0247247947762854,2022/2023,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2023-01-01,6,0,0.8850905657408598,2022/2023,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2023-07-01,6,3,1.1634516361645586,2023/2024,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2024-01-01,6,0,1.2215514135740573,2023/2024,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2024-07-01,6,5,2.0877883679569273,2024/2025,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2025-01-01,6,0,0.6470278133402637,2024/2025,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2025-07-01,6,4,1.0163701178575835,2025/2026,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BLZ,2026-01-01,6,0,1.2797369807469583,2025/2026,North & Central America,weak,endemic,very_small
glm_ar1,expanding,BOL,2016-01-01,6,0,0.5603784862472185,2015/2016,South America,strong,endemic,large
glm_ar1,expanding,BOL,2016-07-01,6,0,0.3638791058896016,2016/2017,South America,strong,endemic,large
glm_ar1,expanding,BOL,2017-01-01,6,3,0.5393799324829784,2016/2017,South America,strong,endemic,large
glm_ar1,expanding,BOL,2017-07-01,6,0,0.16608271241500683,2017/2018,South America,strong,endemic,large
glm_ar1,expanding,BOL,2018-01-01,6,3,0.46199967611592113,2017/2018,South America,strong,endemic,large
glm_ar1,expanding,BOL,2018-07-01,6,1,0.2615732350041114,2018/2019,South America,strong,endemic,large
glm_ar1,expanding,BOL,2019-01-01,6,5,0.201693905132732,2018/2019,South America,strong,endemic,large
glm_ar1,expanding,BOL,2019-07-01,6,0,0.49889085334294897,2019/2020,South America,strong,endemic,large
glm_ar1,expanding,BOL,2020-01-01,6,0,0.6624359220539635,2019/2020,South America,strong,endemic,large
glm_ar1,expanding,BOL,2020-07-01,6,0,0.22969207291366311,2020/2021,South America,strong,endemic,large
glm_ar1,expanding,BOL,2021-01-01,6,4,0.6920991933615775,2020/2021,South America,strong,endemic,large
