"country","region","type_of_missingness","accompanying_text","data_status_message"
"Marshall Islands","Pacific Islands","Full data","Marshall Islands is estimated to have experienced <span class=""scrolly-step-number"">0</span> cases this year to date. This is <span class=""scrolly-step-number"">0.0×</span> the number of cases reported in an average year. This year the dengue situation in Marshall Islands is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
"Martinique","Caribbean","Full data","Martinique is estimated to have experienced <span class=""scrolly-step-number"">673</span> cases this year to date. This is <span class=""scrolly-step-number"">0.9×</span> the number of cases reported in an average year. This year the dengue situation in Martinique is <span class=""scrolly-modifier near"">near</span> average.","Recent months contain observed data only"
"Mauritania","Sub-Saharan Africa","Full data","Mauritania is estimated to have experienced <span class=""scrolly-step-number"">1,049</span> cases this year to date. This is <span class=""scrolly-step-number"">2.7×</span> the number of cases reported in an average year. This year the dengue situation in Mauritania is <span class=""scrolly-modifier above"">above</span> average.","Some recent months contain estimated data"
"Mexico","North & Central America","Full data","Mexico is estimated to have experienced <span class=""scrolly-step-number"">9,589</span> cases this year to date. This is <span class=""scrolly-step-number"">1.0×</span> the number of cases reported in an average year. This year the dengue situation in Mexico is <span class=""scrolly-modifier near"">near</span> average.","Recent months contain observed data only"
"Micronesia (Federated States Of)","Pacific Islands","Full data","Micronesia (Federated States Of) is estimated to have experienced <span class=""scrolly-step-number"">5</span> cases this year to date. This is <span class=""scrolly-step-number"">0.2×</span> the number of cases reported in an average year. This year the dengue situation in Micronesia (Federated States Of) is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
"Myanmar","East & Southeast Asia","Full data","Myanmar is estimated to have experienced <span class=""scrolly-step-number"">130</span> cases this year to date. This is <span class=""scrolly-step-number"">2.1×</span> the number of cases reported in an average year. This year the dengue situation in Myanmar is <span class=""scrolly-modifier above"">above</span> average.","Recent months contain observed data only"
"Nepal","South Asia","Full data","Nepal is estimated to have experienced <span class=""scrolly-step-number"">297</span> cases this year to date. This is <span class=""scrolly-step-number"">1.7×</span> the number of cases reported in an average year. This year the dengue situation in Nepal is <span class=""scrolly-modifier above"">above</span> average.","Recent months contain observed data only"
"New Caledonia","Pacific Islands","Full data","New Caledonia is estimated to have experienced <span class=""scrolly-step-number"">1</span> cases this year to date. This is <span class=""scrolly-step-number"">0.0×</span> the number of cases reported in an average year. This year the dengue situation in New Caledonia is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain estimated data"
"Nicaragua","North & Central America","No current year data reported","Current year data for Nicaragua has not been reported yet. We do not have enough data to estimate current cases.","Recent months contain observed data only"
"Pakistan","South Asia","Full data","Pakistan is estimated to have experienced <span class=""scrolly-step-number"">1,195</span> cases this year to date. This is <span class=""scrolly-step-number"">0.6×</span> the number of cases reported in an average year. This year the dengue situation in Pakistan is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain estimated data"
"Palau","Pacific Islands","Full data","Palau is estimated to have experienced <span class=""scrolly-step-number"">4</span> cases this year to date. This is <span class=""scrolly-step-number"">0.1×</span> the number of cases reported in an average year. This year the dengue situation in Palau is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
"Panama","North & Central America","Full data","Panama is estimated to have experienced <span class=""scrolly-step-number"">1,844</span> cases this year to date. This is <span class=""scrolly-step-number"">1.3×</span> the number of cases reported in an average year. This year the dengue situation in Panama is <span class=""scrolly-modifier above"">above</span> average.","Recent months contain observed data only"
"Paraguay","South America","Full data","Paraguay is estimated to have experienced <span class=""scrolly-step-number"">4,733</span> cases this year to date. This is <span class=""scrolly-step-number"">0.1×</span> the number of cases reported in an average year. This year the dengue situation in Paraguay is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"Peru","South America","Full data","Peru is estimated to have experienced <span class=""scrolly-step-number"">7,457</span> cases this year to date. This is <span class=""scrolly-step-number"">0.7×</span> the number of cases reported in an average year. This year the dengue situation in Peru is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"Puerto Rico","Caribbean","Full data","Puerto Rico is estimated to have experienced <span class=""scrolly-step-number"">261</span> cases this year to date. This is <span class=""scrolly-step-number"">0.4×</span> the number of cases reported in an average year. This year the dengue situation in Puerto Rico is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"Reunion","Sub-Saharan Africa","Full data","Reunion is estimated to have experienced <span class=""scrolly-step-number"">13</span> cases this year to date. This is <span class=""scrolly-step-number"">0.0×</span> the number of cases reported in an average year. This year the dengue situation in Reunion is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
"Saint Barthelemy","Caribbean","Full data","Saint Barthelemy is estimated to have experienced <span class=""scrolly-step-number"">0</span> cases this year to date. This is <span class=""scrolly-step-number"">0.0×</span> the number of cases reported in an average year. This year the dengue situation in Saint Barthelemy is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
"Saint Kitts And Nevis","Caribbean","Full data","Saint Kitts And Nevis is estimated to have experienced <span class=""scrolly-step-number"">5</span> cases this year to date. This is <span class=""scrolly-step-number"">0.2×</span> the number of cases reported in an average year. This year the dengue situation in Saint Kitts And Nevis is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
"Saint Lucia","Caribbean","Full data","Saint Lucia is estimated to have experienced <span class=""scrolly-step-number"">1</span> cases this year to date. This is <span class=""scrolly-step-number"">0.1×</span> the number of cases reported in an average year. This year the dengue situation in Saint Lucia is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
"Saint Martin","Caribbean","Full data","Saint Martin is estimated to have experienced <span class=""scrolly-step-number"">4</span> cases this year to date. This is <span class=""scrolly-step-number"">0.0×</span> the number of cases reported in an average year. This year the dengue situation in Saint Martin is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"Saint Vincent And The Grenadines","Caribbean","Full data","Saint Vincent And The Grenadines is estimated to have experienced <span class=""scrolly-step-number"">2</span> cases this year to date. This is <span class=""scrolly-step-number"">0.0×</span> the number of cases reported in an average year. This year the dengue situation in Saint Vincent And The Grenadines is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"Samoa","Pacific Islands","Full data","Samoa is estimated to have experienced <span class=""scrolly-step-number"">433</span> cases this year to date. This is <span class=""scrolly-step-number"">1.4×</span> the number of cases reported in an average year. This year the dengue situation in Samoa is <span class=""scrolly-modifier above"">above</span> average.","Some recent months contain estimated data"
"Senegal","Sub-Saharan Africa","Full data","Senegal is estimated to have experienced <span class=""scrolly-step-number"">2,445</span> cases this year to date. This is <span class=""scrolly-step-number"">12.9×</span> the number of cases reported in an average year. This year the dengue situation in Senegal is <span class=""scrolly-modifier above"">above</span> average.","Some recent months contain estimated data"
"Seychelles","Sub-Saharan Africa","Full data","Seychelles is estimated to have experienced <span class=""scrolly-step-number"">247</span> cases this year to date. This is <span class=""scrolly-step-number"">0.2×</span> the number of cases reported in an average year. This year the dengue situation in Seychelles is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
"Singapore","East & Southeast Asia","Full data","Singapore is estimated to have experienced <span class=""scrolly-step-number"">424</span> cases this year to date. This is <span class=""scrolly-step-number"">0.2×</span> the number of cases reported in an average year. This year the dengue situation in Singapore is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
"Sint Maarten","Caribbean","Full data","Sint Maarten is estimated to have experienced <span class=""scrolly-step-number"">10</span> cases this year to date. This is <span class=""scrolly-step-number"">0.7×</span> the number of cases reported in an average year. This year the dengue situation in Sint Maarten is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain estimated data"
"Solomon Islands","Pacific Islands","Full data","Solomon Islands is estimated to have experienced <span class=""scrolly-step-number"">26</span> cases this year to date. This is <span class=""scrolly-step-number"">0.1×</span> the number of cases reported in an average year. This year the dengue situation in Solomon Islands is <span class=""scrolly-modifier below"">below</span> average.","Some recent months contain estimated data"
"Sri Lanka","South Asia","Full data","Sri Lanka is estimated to have experienced <span class=""scrolly-step-number"">13,592</span> cases this year to date. This is <span class=""scrolly-step-number"">1.2×</span> the number of cases reported in an average year. This year the dengue situation in Sri Lanka is <span class=""scrolly-modifier above"">above</span> average.","Recent months contain observed data only"
"Sudan","Europe, Middle East & North Africa","Full data","Sudan is estimated to have experienced <span class=""scrolly-step-number"">2,847</span> cases this year to date. This is <span class=""scrolly-step-number"">7.9×</span> the number of cases reported in an average year. This year the dengue situation in Sudan is <span class=""scrolly-modifier above"">above</span> average.","Recent months contain estimated data"
"Suriname","South America","Full data","Suriname is estimated to have experienced <span class=""scrolly-step-number"">765</span> cases this year to date. This is <span class=""scrolly-step-number"">6.6×</span> the number of cases reported in an average year. This year the dengue situation in Suriname is <span class=""scrolly-modifier above"">above</span> average.","Recent months contain estimated data"
"Thailand","East & Southeast Asia","Full data","Thailand is estimated to have experienced <span class=""scrolly-step-number"">3,191</span> cases this year to date. This is <span class=""scrolly-step-number"">0.5×</span> the number of cases reported in an average year. This year the dengue situation in Thailand is <span class=""scrolly-modifier below"">below</span> average.","Recent months contain observed data only"
"Timor-Leste","East & Southeast Asia","Full data","Timor-Leste is estimated to have experienced <span class=""scrolly-step-number"">3,386</span> cases this year to date. This is <span class=""scrolly-step-number"">7.2×</span> the number of cases reported in an average year. This year the dengue situation in Timor-Leste is <span class=""scrolly-modifier above"">above</span> average.","Recent months contain observed data only"
