iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90
MEX,2026-07-01,1,2026-08-01,8470,1695,11670,178,28280
MEX,2026-07-01,2,2026-09-01,6478,1297,8925,136,21629
MEX,2026-07-01,3,2026-10-01,5292,1059,7292,111,17671
MEX,2026-07-01,4,2026-11-01,4545,910,6261,95,15174
MEX,2026-07-01,5,2026-12-01,4052,811,5582,85,13528
MEX,2026-07-01,6,2027-01-01,3716,744,5120,78,12407
MHL,2026-07-01,1,2026-08-01,7,1,10,0,24
MHL,2026-07-01,2,2026-09-01,34,7,47,0,115
MHL,2026-07-01,3,2026-10-01,104,21,143,2,348
MHL,2026-07-01,4,2026-11-01,236,47,326,5,790
MHL,2026-07-01,5,2026-12-01,438,87,603,9,1463
MHL,2026-07-01,6,2027-01-01,695,139,958,14,2323
MMR,2026-07-01,1,2026-08-01,2905,581,4003,61,9701
MMR,2026-07-01,2,2026-09-01,2892,579,3985,60,9656
MMR,2026-07-01,3,2026-10-01,2882,577,3971,60,9623
MMR,2026-07-01,4,2026-11-01,2875,575,3960,60,9598
MMR,2026-07-01,5,2026-12-01,2869,574,3953,60,9579
MMR,2026-07-01,6,2027-01-01,2865,573,3947,60,9565
MRT,2026-07-01,1,2026-08-01,448,89,618,9,1497
MRT,2026-07-01,2,2026-09-01,708,141,975,15,2364
MRT,2026-07-01,3,2026-10-01,998,200,1375,21,3334
MRT,2026-07-01,4,2026-11-01,1293,259,1782,27,4318
MRT,2026-07-01,5,2026-12-01,1572,314,2165,33,5248
MRT,2026-07-01,6,2027-01-01,1820,364,2508,38,6078
MTQ,2026-07-01,1,2026-08-01,169,33,232,3,564
MTQ,2026-07-01,2,2026-09-01,340,68,468,7,1135
MTQ,2026-07-01,3,2026-10-01,575,115,792,12,1919
MTQ,2026-07-01,4,2026-11-01,853,171,1176,18,2850
MTQ,2026-07-01,5,2026-12-01,1149,230,1583,24,3838
MTQ,2026-07-01,6,2027-01-01,1438,288,1981,30,4801
MYS,2026-07-01,1,2026-08-01,4428,886,6101,93,14785
MYS,2026-07-01,2,2026-09-01,3973,795,5474,83,13266
MYS,2026-07-01,3,2026-10-01,3661,733,5045,77,12225
MYS,2026-07-01,4,2026-11-01,3443,689,4743,72,11495
MYS,2026-07-01,5,2026-12-01,3287,658,4528,69,10974
MYS,2026-07-01,6,2027-01-01,3174,635,4373,66,10597
NCL,2026-07-01,1,2026-08-01,149,30,206,3,499
NCL,2026-07-01,2,2026-09-01,310,62,427,6,1036
NCL,2026-07-01,3,2026-10-01,537,107,739,11,1792
NCL,2026-07-01,4,2026-11-01,810,162,1117,17,2707
NCL,2026-07-01,5,2026-12-01,1105,221,1523,23,3691
NCL,2026-07-01,6,2027-01-01,1396,279,1924,29,4663
NIC,2026-07-01,1,2026-08-01,NA,NA,NA,NA,NA
NIC,2026-07-01,2,2026-09-01,NA,NA,NA,NA,NA
NIC,2026-07-01,3,2026-10-01,NA,NA,NA,NA,NA
NIC,2026-07-01,4,2026-11-01,NA,NA,NA,NA,NA
NIC,2026-07-01,5,2026-12-01,NA,NA,NA,NA,NA
NIC,2026-07-01,6,2027-01-01,NA,NA,NA,NA,NA
NPL,2026-07-01,1,2026-08-01,812,162,1119,17,2712
NPL,2026-07-01,2,2026-09-01,1107,221,1525,23,3697
NPL,2026-07-01,3,2026-10-01,1398,280,1926,29,4668
NPL,2026-07-01,4,2026-11-01,1667,333,2296,35,5565
NPL,2026-07-01,5,2026-12-01,1903,381,2621,40,6353
NPL,2026-07-01,6,2027-01-01,2102,421,2896,44,7019
OMN,2026-07-01,1,2026-08-01,NA,NA,NA,NA,NA
OMN,2026-07-01,2,2026-09-01,NA,NA,NA,NA,NA
OMN,2026-07-01,3,2026-10-01,NA,NA,NA,NA,NA
OMN,2026-07-01,4,2026-11-01,NA,NA,NA,NA,NA
OMN,2026-07-01,5,2026-12-01,NA,NA,NA,NA,NA
OMN,2026-07-01,6,2027-01-01,NA,NA,NA,NA,NA
PAK,2026-07-01,1,2026-08-01,1131,226,1558,23,3775
PAK,2026-07-01,2,2026-09-01,1420,284,1957,29,4743
PAK,2026-07-01,3,2026-10-01,1687,337,2324,35,5632
PAK,2026-07-01,4,2026-11-01,1920,384,2645,40,6410
PAK,2026-07-01,5,2026-12-01,2116,423,2916,44,7067
PAK,2026-07-01,6,2027-01-01,2278,456,3138,47,7606
PAN,2026-07-01,1,2026-08-01,2016,403,2778,42,6732
PAN,2026-07-01,2,2026-09-01,2196,439,3026,46,7333
PAN,2026-07-01,3,2026-10-01,2342,469,3227,49,7821
PAN,2026-07-01,4,2026-11-01,2459,492,3387,51,8209
PAN,2026-07-01,5,2026-12-01,2550,510,3514,53,8515
PAN,2026-07-01,6,2027-01-01,2621,524,3612,55,8753
PER,2026-07-01,1,2026-08-01,2418,484,3332,50,8074
PER,2026-07-01,2,2026-09-01,2518,504,3470,53,8409
PER,2026-07-01,3,2026-10-01,2597,520,3578,54,8671
PER,2026-07-01,4,2026-11-01,2657,532,3661,55,8873
PER,2026-07-01,5,2026-12-01,2704,541,3726,56,9029
PER,2026-07-01,6,2027-01-01,2740,548,3775,57,9148
PHL,2026-07-01,1,2026-08-01,NA,NA,NA,NA,NA
PHL,2026-07-01,2,2026-09-01,NA,NA,NA,NA,NA
PHL,2026-07-01,3,2026-10-01,NA,NA,NA,NA,NA
PHL,2026-07-01,4,2026-11-01,NA,NA,NA,NA,NA
PHL,2026-07-01,5,2026-12-01,NA,NA,NA,NA,NA
PHL,2026-07-01,6,2027-01-01,NA,NA,NA,NA,NA
PLW,2026-07-01,1,2026-08-01,24,4,33,0,80
PLW,2026-07-01,2,2026-09-01,80,16,110,1,267
PLW,2026-07-01,3,2026-10-01,194,39,268,4,649
PLW,2026-07-01,4,2026-11-01,378,75,521,8,1262
PLW,2026-07-01,5,2026-12-01,622,124,858,13,2079
PLW,2026-07-01,6,2027-01-01,906,181,1248,19,3026
PRI,2026-07-01,1,2026-08-01,345,69,475,7,1152
PRI,2026-07-01,2,2026-09-01,581,116,801,12,1941
PRI,2026-07-01,3,2026-10-01,860,172,1186,18,2874
PRI,2026-07-01,4,2026-11-01,1156,231,1593,24,3862
PRI,2026-07-01,5,2026-12-01,1445,289,1991,30,4824
PRI,2026-07-01,6,2027-01-01,1708,342,2354,36,5705
PRY,2026-07-01,1,2026-08-01,1014,203,1398,21,3387
PRY,2026-07-01,2,2026-09-01,1309,262,1803,27,4371
PRY,2026-07-01,3,2026-10-01,1586,317,2185,33,5296
PRY,2026-07-01,4,2026-11-01,1833,367,2525,38,6120
PRY,2026-07-01,5,2026-12-01,2044,409,2816,43,6824
PRY,2026-07-01,6,2027-01-01,2219,444,3057,46,7408
PYF,2026-07-01,1,2026-08-01,78,15,107,1,261
PYF,2026-07-01,2,2026-09-01,191,38,263,4,637
PYF,2026-07-01,3,2026-10-01,372,74,513,7,1244
PYF,2026-07-01,4,2026-11-01,616,123,848,13,2056
PYF,2026-07-01,5,2026-12-01,899,180,1238,19,3001
PYF,2026-07-01,6,2027-01-01,1195,239,1646,25,3990
REU,2026-07-01,1,2026-08-01,37,7,51,0,125
REU,2026-07-01,2,2026-09-01,110,22,152,2,369
REU,2026-07-01,3,2026-10-01,247,49,341,5,826
REU,2026-07-01,4,2026-11-01,453,90,624,9,1512
REU,2026-07-01,5,2026-12-01,713,142,982,15,2381
REU,2026-07-01,6,2027-01-01,1004,201,1383,21,3352
SAU,2026-07-01,1,2026-08-01,NA,NA,NA,NA,NA
SAU,2026-07-01,2,2026-09-01,NA,NA,NA,NA,NA
SAU,2026-07-01,3,2026-10-01,NA,NA,NA,NA,NA
SAU,2026-07-01,4,2026-11-01,NA,NA,NA,NA,NA
SAU,2026-07-01,5,2026-12-01,NA,NA,NA,NA,NA
SAU,2026-07-01,6,2027-01-01,NA,NA,NA,NA,NA
