iso3,country,step_1_historic_data,step_2_cleaned_data,step_3a_after_case_filter,step_3b_after_seasonal_filter,step_4_current_data,step_5_merge_and_nowcast,step_6_final,dropped_at_step,drop_reason,final_status
CPV,Cabo Verde,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: <3 complete seasons,Dropped after current data selection
KHM,Cambodia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
CMR,Cameroon,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: <3 complete seasons,Dropped after current data selection
CAN,Canada,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
CYM,Cayman Islands,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
CAF,Central African Republic,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: <3 complete seasons,Dropped after current data selection
TCD,Chad,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: <3 complete seasons,Dropped after current data selection
CHL,Chile,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
CHN,China,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
COL,Colombia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
COM,Comoros,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: incomplete seasons (<12 months per season),Dropped after current data selection
COG,Congo,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
COK,Cook Islands,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
CRI,Costa Rica,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
HRV,Croatia,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: <5 cases/month average,Dropped after current data selection
CUB,Cuba,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
CUW,Curaçao,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,Dropped after merge/nowcast
CYP,Cyprus,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
CZE,Czechia,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
CIV,Côte d'Ivoire,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
COD,Democratic Republic of the Congo,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: incomplete seasons (<12 months per season),Dropped after current data selection
DNK,Denmark,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
DJI,Djibouti,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: incomplete seasons (<12 months per season),Dropped after case filtering
DMA,Dominica,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,Dropped after merge/nowcast
DOM,Dominican Republic,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
ECU,Ecuador,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
EGY,Egypt,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: incomplete seasons (<12 months per season),Dropped after case filtering
SLV,El Salvador,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
GNQ,Equatorial Guinea,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
ERI,Eritrea,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
EST,Estonia,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
SWZ,Eswatini,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
ETH,Ethiopia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
FJI,Fiji,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
FIN,Finland,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
FRA,France,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: incomplete seasons (<12 months per season),Dropped after current data selection
GUF,French Guiana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
PYF,French Polynesia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
GAB,Gabon,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: incomplete seasons (<12 months per season),Dropped after current data selection
GMB,Gambia,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
GEO,Georgia,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
DEU,Germany,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
GHA,Ghana,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: <3 complete seasons,Dropped after current data selection
GRC,Greece,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
GRD,Grenada,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
GLP,Guadeloupe,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
GUM,Guam,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: <3 complete seasons,Dropped after current data selection
GTM,Guatemala,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
GIN,Guinea,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: incomplete seasons (<12 months per season),Dropped after current data selection
GNB,Guinea-Bissau,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
GUY,Guyana,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
HTI,Haiti,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,Dropped after merge/nowcast
VAT,Holy See,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
HND,Honduras,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
HKG,Hong kong,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: incomplete seasons (<12 months per season),Dropped after case filtering
HUN,Hungary,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
ISL,Iceland,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
IND,India,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
IDN,Indonesia,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,Dropped after merge/nowcast
IRN,Iran (Islamic Republic of),TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: <3 complete seasons,Dropped after current data selection
IRL,Ireland,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
ISR,Israel,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
ITA,Italy,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: incomplete seasons (<12 months per season),Dropped after current data selection
JAM,Jamaica,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
JPN,Japan,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Step_3b_After_Seasonal_filter,Filtered: incomplete seasons (<12 months per season),Dropped after case filtering
KAZ,Kazakhstan,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
KEN,Kenya,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
KIR,Kiribati,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
KGZ,Kyrgyzstan,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
LAO,Lao People's Democratic Republic,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,Included
LVA,Latvia,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Step_3a_After_Case_Filter,Filtered: all-zero years,Dropped after current data selection
