"","country","iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion","date","Year","cases","source","Data_status","Predicted_total_seasonal_cases","cum_todate_cases_calendar","cum_todate_cases_season","Data_process","percentile_most_recent","Country","Region"
"372","Peru","PER",10,4,2.13919794682825,4880.125,4880.125,19006.25,0.228474104772162,0.0767113732407603,2024-10-01,2024,2178,"PAHO","Observed",9533,263572,14529,"Observed",90.6268646216391,"Peru","Latin America & Caribbean"
"373","Brazil","BRA",11,4,2.71321965718044,300043.2,300043.2,572365.4,0.284968373642387,0.14881537645225,2024-11-01,2024,130359,"PAHO","Observed",457451,10120174,893201,"Observed",82.7315151250425,"Brazil","Latin America & Caribbean"
"374","Ecuador","ECU",11,4,3.01270357924255,1946.81818181818,1946.81818181818,5608.45454545455,0.289572216220733,0.107573002201886,2024-11-01,2024,2613,"PAHO","Observed",9024,58361,15478,"Observed",99.9900225172726,"Ecuador","Latin America & Caribbean"
"375","Guyana","GUY",12,4,0.675773053665734,941.571428571429,941.571428571429,2094.85714285714,0.351441974535727,0.128125938049713,2024-12-01,2024,2246,"PAHO","Observed",6391,46306,29142,"Observed",99.5613065389091,"Guyana","Latin America & Caribbean"
"376","Cambodia","KHM",1,4,0.575883000588683,612.857142857142,612.857142857143,1913.71428571429,0.159880994676002,0.0337817750369212,2025-01-01,2025,761,"WHO","Observed",4760,761,7519,"Observed",99.6376941262176,"Cambodia","East Asia & Pacific"
"377","Colombia","COL",1,4,6.012381315356,6016.49999999999,6016.5,30935,0.403198831118147,0.0721204918524098,2025-01-01,2025,19794,"PAHO","Observed",49092,19794,89410,"Observed",99.9999999999999,"Colombia","Latin America & Caribbean"
"378","Malaysia","MYS",1,4,2.25752839828888,8364.84615384612,8364.84615384615,24834.2307692308,0.337096264840445,0.101910657702779,2025-01-01,2025,6676,"WHO","Observed",19804,6676,44016,"Observed",95.6998203170336,"Malaysia","East Asia & Pacific"
"379","Maldives","MDV",1,4,4.34935069473526,132.181818181818,132.181818181818,384.272727272727,0.301430031650138,0.0886363507704054,2025-01-01,2025,72,"SEARO","Observed",239,72,519,"Observed",93.4372232716734,"Maldives","South Asia"
"380","Sri Lanka","LKA",1,4,3.03529974793929,5893.33333333333,5893.33333333333,17039.7777777778,0.286332957346723,0.0987109952683936,2025-01-01,2025,4942,"SEARO","Observed",17260,4942,25760,"Observed",99.2845139626124,"Sri Lanka","South Asia"
"381","Bahamas","BHS",2,4,0.221622029253825,51.3333333333334,51.3333333333333,244.333333333333,0.399842046406171,0.0220346164214001,2025-02-01,2025,5167,"WHO","Unobserved",12923,5167,8690,"Estimates",100,"Bahamas","Latin America & Caribbean"
"382","British Virgin Islands","VGB",2,4,0.61413376535853,30,30,119.666666666667,0.470881333607896,0.0595230998420345,2025-02-01,2025,4,"WHO","Observed",8,15,6446,"Observed",36.279831309848,"British Virgin Islands","Latin America & Caribbean"
"383","Nicaragua","NIC",2,4,1.24971646602224,3857.66666666667,3857.66666666667,15208.3333333333,0.172011396451108,0.0428709978400889,2025-02-01,2025,2667,"WHO","Unobserved",15505,8369,39506,"Estimates",98.8645887135503,"Nicaragua","Latin America & Caribbean"
"384","Pakistan","PAK",2,4,2107582.83419823,365.384615384616,365.384615384615,930.461538461538,0.107332556417791,0.0276186945726764,2025-02-01,2025,2496,"WHO","Observed",23255,6239,19545,"Observed",100,"Pakistan","South Asia"
"385","Singapore","SGP",2,4,1.16800834200074,1528.42857142857,1528.42857142857,4326.71428571429,0.347007951815393,0.0939299133861574,2025-02-01,2025,380,"WHO","Observed",1095,866,5486,"Observed",49.1300990504898,"Singapore","East Asia & Pacific"
"386","Solomon Islands","SLB",2,4,0.889217412971928,30.625,30.625,559.25,0.365919151633121,0.048535752135521,2025-02-01,2025,34,"WHO","Observed",93,81,93,"Observed",94.5223870520244,"Solomon Islands","East Asia & Pacific"
"387","Bangladesh","BGD",3,4,0.876728422406851,108.333333333333,108.333333333333,342.777777777778,0.100211134461936,0.031110291126345,2025-03-01,2025,336,"SEARO","Observed",3353,1871,13321,"Observed",99.9999999998893,"Bangladesh","South Asia"
"388","Barbados","BRB",3,4,3.18342434773276,74.2500000000001,74.25,382.75,0.31385640645336,0.0605237361165573,2025-03-01,2025,55,"PAHO","Observed",175,99,1088,"Observed",97.3461388447416,"Barbados","Latin America & Caribbean"
"389","Belize","BLZ",3,4,1.94159594433043,286.538461538462,286.538461538462,979.384615384615,0.250160984387359,0.0636048879397877,2025-03-01,2025,90,"PAHO","Observed",360,199,383,"Observed",71.518632281387,"Belize","Latin America & Caribbean"
"390","China","CHN",3,4,0.114308876957876,128.25,128.25,215.375,0.0384237450315454,0.00910810991509093,2025-03-01,2025,38,"WHO","Observed",989,138,687,"Observed",96.616097458657,"China","East Asia & Pacific"
"391","Cook Islands","COK",3,4,1.65083972097773,16.6666666666667,16.6666666666667,89.3333333333333,0.412669124785689,0.0683651442853897,2025-03-01,2025,0,"WHO","Observed",0,1,1,"Observed",1.88194088405419,"Cook Islands","East Asia & Pacific"
"392","Costa Rica","CRI",3,4,1.56544554730236,2094.66666666666,2094.66666666667,5739.33333333333,0.232416042202857,0.0762958424991351,2025-03-01,2025,358,"PAHO","Observed",1540,1252,8313,"Observed",46.3909210706951,"Costa Rica","Latin America & Caribbean"
