date,country,iso3,cases,Year,Month,Month.Year
2024-03-01,Uganda,UGA,0,2024,3,3-2024
2024-03-01,United Republic of Tanzania,TZA,3,2024,3,3-2024
2024-03-01,Zambia,ZMB,0,2024,3,3-2024
2024-03-01,Zimbabwe,ZWE,0,2024,3,3-2024
2024-03-01,Canada,CAN,0,2024,3,3-2024
2024-03-01,Albania,ALB,0,2024,3,3-2024
2024-03-01,Andorra,AND,0,2024,3,3-2024
2024-03-01,Armenia,ARM,0,2024,3,3-2024
2024-03-01,Austria,AUT,0,2024,3,3-2024
2024-03-01,Azerbaijan,AZE,0,2024,3,3-2024
2024-03-01,Belarus,BLR,0,2024,3,3-2024
2024-03-01,Belgium,BEL,0,2024,3,3-2024
2024-03-01,Bosnia and Herzegovina,BIH,0,2024,3,3-2024
2024-03-01,Bulgaria,BGR,0,2024,3,3-2024
2024-03-01,Croatia,HRV,0,2024,3,3-2024
2024-03-01,Cyprus,CYP,0,2024,3,3-2024
2024-03-01,Czechia,CZE,0,2024,3,3-2024
2024-03-01,Denmark,DNK,0,2024,3,3-2024
2024-03-01,Estonia,EST,0,2024,3,3-2024
2024-03-01,Finland,FIN,0,2024,3,3-2024
2024-03-01,France,FRA,0,2024,3,3-2024
2024-03-01,Georgia,GEO,0,2024,3,3-2024
2024-03-01,Germany,DEU,0,2024,3,3-2024
2024-03-01,Greece,GRC,0,2024,3,3-2024
2024-03-01,Holy See,VAT,0,2024,3,3-2024
2024-03-01,Hungary,HUN,0,2024,3,3-2024
2024-03-01,Iceland,ISL,0,2024,3,3-2024
2024-03-01,Ireland,IRL,0,2024,3,3-2024
2024-03-01,Israel,ISR,0,2024,3,3-2024
2024-03-01,Italy,ITA,0,2024,3,3-2024
2024-03-01,Kazakhstan,KAZ,0,2024,3,3-2024
2024-03-01,Kyrgyzstan,KGZ,0,2024,3,3-2024
2024-03-01,Latvia,LVA,0,2024,3,3-2024
2024-03-01,Liechtenstein,LIE,0,2024,3,3-2024
2024-03-01,Lithuania,LTU,0,2024,3,3-2024
