iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90,model,window_type,n_train_months,n_gap_in_window,actual
CUB,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,nowcast,expanding,22,0,81
CUB,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,nowcast,expanding,22,0,114
CUB,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,nowcast,expanding,22,0,142
CUW,2016-01-01,1,2016-02-01,122,71,179,66,206,nowcast,expanding,48,0,NA
CUW,2016-01-01,2,2016-03-01,156,91,228,84,263,nowcast,expanding,48,0,NA
CUW,2016-01-01,3,2016-04-01,23,13,34,12,39,nowcast,expanding,48,0,NA
CUW,2016-01-01,4,2016-05-01,29,25,32,14,61,nowcast,expanding,48,0,NA
CUW,2016-01-01,5,2016-06-01,34,29,38,16,72,nowcast,expanding,48,0,NA
CUW,2016-01-01,6,2016-07-01,40,34,44,19,84,nowcast,expanding,48,0,NA
CYM,2016-01-01,1,2016-02-01,5,2,9,0,19,nowcast,expanding,46,0,14
CYM,2016-01-01,2,2016-03-01,1,1,3,0,6,nowcast,expanding,46,0,5
CYM,2016-01-01,3,2016-04-01,1,1,2,0,2,nowcast,expanding,46,0,2
CYM,2016-01-01,4,2016-05-01,1,1,1,0,2,nowcast,expanding,46,0,3
CYM,2016-01-01,5,2016-06-01,2,1,2,0,2,nowcast,expanding,46,0,4
CYM,2016-01-01,6,2016-07-01,4,2,4,1,5,nowcast,expanding,46,0,10
DMA,2016-01-01,1,2016-02-01,7,3,11,0,23,nowcast,expanding,58,12,20
DMA,2016-01-01,2,2016-03-01,5,2,9,0,21,nowcast,expanding,58,12,18
DMA,2016-01-01,3,2016-04-01,5,3,6,0,7,nowcast,expanding,58,12,13
DMA,2016-01-01,4,2016-05-01,6,3,7,1,8,nowcast,expanding,58,12,13
DMA,2016-01-01,5,2016-06-01,6,3,7,1,8,nowcast,expanding,58,12,19
DMA,2016-01-01,6,2016-07-01,8,4,9,1,10,nowcast,expanding,58,12,23
DOM,2016-01-01,1,2016-02-01,835,385,1483,0,3043,nowcast,expanding,71,0,989
DOM,2016-01-01,2,2016-03-01,442,292,2136,191,7760,nowcast,expanding,71,0,601
DOM,2016-01-01,3,2016-04-01,332,219,1603,143,5824,nowcast,expanding,71,0,881
DOM,2016-01-01,4,2016-05-01,418,276,2018,180,7333,nowcast,expanding,71,0,497
DOM,2016-01-01,5,2016-06-01,482,318,2330,208,8465,nowcast,expanding,71,0,603
DOM,2016-01-01,6,2016-07-01,480,317,2320,207,8430,nowcast,expanding,71,0,433
ECU,2016-01-01,1,2016-02-01,1480,860,2543,739,9881,nowcast,expanding,63,0,1871
ECU,2016-01-01,2,2016-03-01,2375,1381,4081,1187,15860,nowcast,expanding,63,0,1598
ECU,2016-01-01,3,2016-04-01,2625,1526,4511,1311,17528,nowcast,expanding,63,0,1338
ECU,2016-01-01,4,2016-05-01,3405,1979,5851,1701,22737,nowcast,expanding,63,0,2215
ECU,2016-01-01,5,2016-06-01,2813,1635,4835,1406,18787,nowcast,expanding,63,0,1696
ECU,2016-01-01,6,2016-07-01,1967,1144,3381,983,13138,nowcast,expanding,63,0,1309
ERI,2016-01-01,1,2016-02-01,1120,720,1442,619,1779,nowcast,expanding,60,7,NA
ERI,2016-01-01,2,2016-03-01,999,642,1286,552,1586,nowcast,expanding,60,7,NA
ERI,2016-01-01,3,2016-04-01,1001,644,1289,553,1590,nowcast,expanding,60,7,NA
ERI,2016-01-01,4,2016-05-01,732,471,942,404,1162,nowcast,expanding,60,7,NA
ERI,2016-01-01,5,2016-06-01,730,470,940,403,1160,nowcast,expanding,60,7,NA
ERI,2016-01-01,6,2016-07-01,748,496,941,287,1422,nowcast,expanding,60,7,NA
ETH,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,nowcast,expanding,12,21,NA
ETH,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,nowcast,expanding,12,21,NA
ETH,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,nowcast,expanding,12,21,NA
ETH,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,nowcast,expanding,12,21,NA
ETH,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,nowcast,expanding,12,21,NA
ETH,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,nowcast,expanding,12,21,NA
FJI,2016-01-01,1,2016-02-01,21,10,202,9,234,nowcast,expanding,63,0,141
FJI,2016-01-01,2,2016-03-01,19,9,188,8,217,nowcast,expanding,63,0,126
FJI,2016-01-01,3,2016-04-01,17,8,164,7,190,nowcast,expanding,63,0,109
FJI,2016-01-01,4,2016-05-01,9,4,93,4,107,nowcast,expanding,63,0,64
FJI,2016-01-01,5,2016-06-01,9,4,88,4,102,nowcast,expanding,63,0,58
FJI,2016-01-01,6,2016-07-01,7,3,64,3,74,nowcast,expanding,63,0,41
FSM,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
FSM,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,NA
FSM,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,2
FSM,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,8
FSM,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,14
FSM,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,nowcast,expanding,0,0,5
GLP,2016-01-01,1,2016-02-01,2,1,30,1,44,nowcast,expanding,70,0,10
GLP,2016-01-01,2,2016-03-01,1,1,21,1,30,nowcast,expanding,70,0,8
GLP,2016-01-01,3,2016-04-01,171,136,183,7,1087,nowcast,expanding,70,0,3
