iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90,model,window_type,n_train_months,n_gap_in_window,actual
CYM,2016-01-01,1,2016-02-01,92,19,127,2,304,glm_ar1,expanding,46,0,14
CYM,2016-01-01,2,2016-03-01,229,48,316,5,757,glm_ar1,expanding,46,0,5
CYM,2016-01-01,3,2016-04-01,439,91,606,10,1449,glm_ar1,expanding,46,0,2
CYM,2016-01-01,4,2016-05-01,698,146,964,16,2307,glm_ar1,expanding,46,0,3
CYM,2016-01-01,5,2016-06-01,974,203,1344,22,3217,glm_ar1,expanding,46,0,4
CYM,2016-01-01,6,2016-07-01,1237,258,1706,29,4083,glm_ar1,expanding,46,0,10
DMA,2016-01-01,1,2016-02-01,118,24,163,2,392,glm_ar1,expanding,58,12,20
DMA,2016-01-01,2,2016-03-01,274,57,378,6,906,glm_ar1,expanding,58,12,18
DMA,2016-01-01,3,2016-04-01,499,104,689,11,1648,glm_ar1,expanding,58,12,13
DMA,2016-01-01,4,2016-05-01,766,160,1057,18,2529,glm_ar1,expanding,58,12,13
DMA,2016-01-01,5,2016-06-01,1041,217,1436,24,3436,glm_ar1,expanding,58,12,19
DMA,2016-01-01,6,2016-07-01,1296,271,1789,30,4280,glm_ar1,expanding,58,12,23
DOM,2016-01-01,1,2016-02-01,1845,385,2546,43,6092,glm_ar1,expanding,71,0,989
DOM,2016-01-01,2,2016-03-01,1954,408,2697,45,6452,glm_ar1,expanding,71,0,601
DOM,2016-01-01,3,2016-04-01,2036,425,2810,47,6724,glm_ar1,expanding,71,0,881
DOM,2016-01-01,4,2016-05-01,2097,438,2894,49,6925,glm_ar1,expanding,71,0,497
DOM,2016-01-01,5,2016-06-01,2142,447,2956,50,7073,glm_ar1,expanding,71,0,603
DOM,2016-01-01,6,2016-07-01,2175,454,3001,50,7181,glm_ar1,expanding,71,0,433
ECU,2016-01-01,1,2016-02-01,1857,388,2562,43,6131,glm_ar1,expanding,63,0,1871
ECU,2016-01-01,2,2016-03-01,1963,410,2709,45,6482,glm_ar1,expanding,63,0,1598
ECU,2016-01-01,3,2016-04-01,2043,427,2819,47,6746,glm_ar1,expanding,63,0,1338
ECU,2016-01-01,4,2016-05-01,2102,439,2901,49,6941,glm_ar1,expanding,63,0,2215
ECU,2016-01-01,5,2016-06-01,2146,448,2961,50,7085,glm_ar1,expanding,63,0,1696
ECU,2016-01-01,6,2016-07-01,2178,455,3005,51,7190,glm_ar1,expanding,63,0,1309
ERI,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,glm_ar1,expanding,60,7,NA
ERI,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,glm_ar1,expanding,60,7,NA
ERI,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,glm_ar1,expanding,60,7,NA
ERI,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,glm_ar1,expanding,60,7,NA
ERI,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,glm_ar1,expanding,60,7,NA
ERI,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,glm_ar1,expanding,60,7,NA
ETH,2016-01-01,1,2016-02-01,NA,NA,NA,NA,NA,glm_ar1,expanding,12,21,NA
ETH,2016-01-01,2,2016-03-01,NA,NA,NA,NA,NA,glm_ar1,expanding,12,21,NA
ETH,2016-01-01,3,2016-04-01,NA,NA,NA,NA,NA,glm_ar1,expanding,12,21,NA
ETH,2016-01-01,4,2016-05-01,NA,NA,NA,NA,NA,glm_ar1,expanding,12,21,NA
ETH,2016-01-01,5,2016-06-01,NA,NA,NA,NA,NA,glm_ar1,expanding,12,21,NA
ETH,2016-01-01,6,2016-07-01,NA,NA,NA,NA,NA,glm_ar1,expanding,12,21,NA
FJI,2016-01-01,1,2016-02-01,248,52,343,5,821,glm_ar1,expanding,63,0,141
FJI,2016-01-01,2,2016-03-01,465,97,642,10,1536,glm_ar1,expanding,63,0,126
FJI,2016-01-01,3,2016-04-01,728,152,1005,17,2404,glm_ar1,expanding,63,0,109
FJI,2016-01-01,4,2016-05-01,1004,209,1385,23,3314,glm_ar1,expanding,63,0,64
