"country","iso3","year","ext_date","EW","onset_date","total_den","total_corrected_cases","total_applied_cases","d","rf","correction_applied","correction_excluded","correction_reason"
"Mexico","MEX",2026,"20260805",28,2026-07-06,35402,35643,35643,4,1.0067977465121,TRUE,FALSE,"applied_mean"
"Nicaragua","NIC",2025,"20260805",4,2025-01-20,5702,NA,5702,80,NA,FALSE,TRUE,"no_lookup_match"
"Nicaragua","NIC",2024,"20260805",40,2024-09-30,67067,NA,67067,96,NA,FALSE,TRUE,"no_lookup_match"
"Panama","PAN",2024,"20260805",40,2024-09-30,28530,NA,28530,96,NA,FALSE,TRUE,"no_lookup_match"
"Panama","PAN",2025,"20260805",40,2025-09-29,15275,15275,15275,44,1,TRUE,FALSE,"applied_mean"
"Panama","PAN",2026,"20260805",23,2026-06-01,4217,4010,4010,9,0.950952741183164,TRUE,FALSE,"applied_mean"
"Bolivia","BOL",2024,"20260805",40,2024-09-30,51455,NA,51455,96,NA,FALSE,TRUE,"no_lookup_match"
"Bolivia","BOL",2025,"20260805",40,2025-09-29,31030,31030,31030,44,1,TRUE,FALSE,"applied_mean"
"Bolivia","BOL",2026,"20260805",27,2026-06-29,51505,59812,59812,5,1.1612945689833,TRUE,FALSE,"applied_mean"
"Colombia","COL",2026,"20260805",28,2026-07-06,61627,61627,61627,4,1,TRUE,FALSE,"applied_mean"
"Colombia","COL",2024,"20260805",40,2024-09-30,279015,NA,279015,96,NA,FALSE,TRUE,"no_lookup_match"
"Colombia","COL",2025,"20260805",40,2025-09-29,106541,106541,106541,44,1,TRUE,FALSE,"applied_mean"
"Ecuador","ECU",2024,"20260805",40,2024-09-30,53393,NA,53393,96,NA,FALSE,TRUE,"no_lookup_match"
"Ecuador","ECU",2025,"20260805",40,2025-09-29,34755,34832,34832,44,1.00220815224781,TRUE,FALSE,"applied_mean"
"Ecuador","ECU",2026,"20260805",29,2026-07-13,24705,24721,24721,3,1.00063039613601,TRUE,FALSE,"applied_mean"
"Peru","PER",2024,"20260805",40,2024-09-30,261394,NA,261394,96,NA,FALSE,TRUE,"no_lookup_match"
"Peru","PER",2025,"20260805",40,2025-09-29,33528,31728,31728,44,0.946324909828035,TRUE,FALSE,"applied_mean"
"Peru","PER",2026,"20260805",28,2026-07-06,38322,38092,38092,4,0.994005294504034,TRUE,FALSE,"applied_mean"
"Venezuela","VEN",2024,"20260805",40,2024-09-30,43702,NA,43702,96,NA,FALSE,TRUE,"no_lookup_match"
"Venezuela","VEN",2025,"20260805",40,2025-09-29,35330,NA,35330,44,NA,FALSE,TRUE,"no_lookup_match"
"Venezuela","VEN",2026,"20260805",27,2026-06-29,8495,NA,8495,5,NA,FALSE,TRUE,"no_lookup_match"
"Argentina","ARG",2024,"20260805",40,2024-09-30,581340,NA,581340,96,NA,FALSE,TRUE,"no_lookup_match"
"Argentina","ARG",2025,"20260805",40,2025-09-29,17639,18984,18984,44,1.07626463310291,TRUE,FALSE,"applied_mean"
"Argentina","ARG",2026,"20260805",28,2026-07-06,55,61,61,4,1.11409122655788,TRUE,FALSE,"applied_mean"
"Brazil","BRA",2024,"20260805",40,2024-09-30,9887497,NA,9887497,96,NA,FALSE,TRUE,"no_lookup_match"
"Brazil","BRA",2025,"20260805",40,2025-09-29,3497129,3497280,3497280,44,1.00004330901529,TRUE,FALSE,"applied_mean"
"Brazil","BRA",2026,"20260805",29,2026-07-13,1134453,1200441,1200441,3,1.05816718283121,TRUE,FALSE,"applied_mean"
"Chile","CHL",2025,"20260805",40,2025-09-29,0,NA,0,44,NA,FALSE,TRUE,"no_lookup_match"
"Chile","CHL",2024,"20260805",40,2024-09-30,157,NA,157,96,NA,FALSE,TRUE,"no_lookup_match"
"Chile","CHL",2026,"20260805",27,2026-06-29,27,27,27,5,1.00229292929293,TRUE,FALSE,"applied_mean"
"Paraguay","PRY",2024,"20260805",40,2024-09-30,286561,NA,286561,96,NA,FALSE,TRUE,"no_lookup_match"
"Paraguay","PRY",2025,"20260805",40,2025-09-29,24923,24923,24923,44,1,TRUE,FALSE,"applied_mean"
"Paraguay","PRY",2026,"20260805",28,2026-07-06,9025,8868,8868,4,0.982649506719879,TRUE,FALSE,"applied_mean"
"Uruguay","URY",2025,"20260805",40,2025-09-29,6,6,6,44,1,TRUE,FALSE,"applied_mean"
"Uruguay","URY",2026,"20260805",27,2026-06-29,0,0,0,5,1.60246117987577,TRUE,FALSE,"applied_mean"
"Uruguay","URY",2024,"20260805",40,2024-09-30,1132,NA,1132,96,NA,FALSE,TRUE,"no_lookup_match"
"Cuba","CUB",2024,"20260805",31,2024-07-29,985,NA,985,105,NA,FALSE,TRUE,"no_lookup_match"
"Cuba","CUB",2025,"20260805",38,2025-09-15,6519,NA,6519,46,NA,FALSE,TRUE,"no_lookup_match"
"Dominican Republic","DOM",2024,"20260805",40,2024-09-30,9625,NA,9625,96,NA,FALSE,TRUE,"no_lookup_match"
"Dominican Republic","DOM",2025,"20260805",40,2025-09-29,1500,1500,1500,44,1,TRUE,FALSE,"applied_mean"
"Dominican Republic","DOM",2026,"20260805",27,2026-06-29,713,713,713,5,1,TRUE,FALSE,"applied_mean"
"Puerto Rico","PRI",2024,"20260805",40,2024-09-30,4129,NA,4129,96,NA,FALSE,TRUE,"no_lookup_match"
"Puerto Rico","PRI",2025,"20260805",40,2025-09-29,2687,2687,2687,44,1,TRUE,FALSE,"applied_mean"
