"","country","iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion","Year","date","cases","source","Data_status","Predicted_total_seasonal_cases","cum_todate_cases_calendar","cum_todate_cases_season","percentile_most_recent","Country","Region"
"78","Bangladesh","BGD",11,10,0.457909410136348,163.428571428572,163.428571428571,1950.71428571429,0.97939730654898,0.066148295274149,2024,2024-11-01,29652,"SEARO","Observed",30276,91469,136595,100,"Bangladesh","South Asia"
"79","Bangladesh","BGD",7,6,1.39010414194714,264.142857142857,264.142857142857,347.571428571429,0.18569009405416,0.150753900060566,2024,2024-07-01,2669,"SEARO","Observed",14373,6320,14400,100,"Bangladesh","South Asia"
"80","Bangladesh","BGD",12,11,0.317923881203683,43.5714285714286,43.5714285714286,1994.28571428571,0.996183126167502,0.0167858196185216,2024,2024-12-01,9745,"SEARO","Observed",9782,101214,146340,100,"Bangladesh","South Asia"
"81","Bangladesh","BGD",5,4,0.226919019523569,13.1428571428571,13.1428571428571,23.8571428571429,0.0108254963986596,0.00554442813587381,2025,2025-05-01,1773,"SEARO","Observed",163780,4345,4982,100,"Bangladesh","South Asia"
"82","Bangladesh","BGD",8,7,1.3345341079755,529,529,876.571428571429,0.480194833322961,0.2945047392688,2025,2025-08-01,10496,"SEARO","Observed",21858,31476,42101,100,"Bangladesh","South Asia"
"83","Bangladesh","BGD",5,4,0.226919019523569,13.1428571428571,13.1428571428571,23.8571428571429,0.0108254963986596,0.00554442813587381,2024,2024-05-01,644,"SEARO","Observed",59489,2853,3209,100,"Bangladesh","South Asia"
"84","Bangladesh","BGD",3,2,0.208561713003045,3,3,4.42857142857143,0.00412682583515634,0.0012792367805303,2024,2024-03-01,311,"SEARO","Observed",75361,1705,1024,100,"Bangladesh","South Asia"
"85","Bangladesh","BGD",9,8,1.15872486627772,530.285714285715,530.285714285714,1406.85714285714,0.747791668979122,0.267596835656161,2025,2025-09-01,15866,"SEARO","Observed",21217,47342,76064,100,"Bangladesh","South Asia"
"86","Bangladesh","BGD",10,9,0.88353213661896,380.428571428572,380.428571428571,1787.28571428571,0.913249011274831,0.165457342295709,2025,2025-10-01,0,"SEARO","Observed",0,47342,106943,0.469722499258729,"Bangladesh","South Asia"
"87","Bangladesh","BGD",6,5,0.506768221947199,59.5714285714286,59.5714285714286,83.4285714285714,0.0349361939935937,0.0241106975949341,2025,2025-06-01,5951,"SEARO","Observed",170339,10296,11731,100,"Bangladesh","South Asia"
