"","country","iso3","Month","season_nMonth","nb_size","nb_mean","Ave_season_monthly_cases","Ave_season_monthly_cum_cases","Ave_cum_monthly_proportion","Ave_monthly_proportion"
"428","India","IND",11,8,1.87826735363412,16629.7142857143,16629.7142857143,93500.2857142857,0.760822607995413,0.135147098834908
"429","India","IND",12,9,1.8782967105667,8840.85714285712,8840.85714285714,102341.142857143,0.832623681256124,0.0718010732607111
"430","India","IND",1,10,1.95170668076821,7435.07142857142,7435.07142857143,109776.214285714,0.908920524900394,0.0762968436442692
"431","India","IND",2,11,1.9613634761393,4951.85714285715,4951.85714285714,114728.071428571,0.959736683876048,0.050816158975655
"432","India","IND",3,12,1.91025654081256,4010.07142857145,4010.07142857143,118738.142857143,1,0.0402633161239515
"433","Indonesia","IDN",10,1,8.29044381258607,6244.35714285716,6244.35714285714,6244.35714285714,0.0599107254659208,0.0599107254659208
"434","Indonesia","IDN",11,2,10.0486826027842,6964.71428571426,6964.71428571429,13209.0714285714,0.124858829775001,0.0649481043090804
"435","Indonesia","IDN",12,3,6.93780297200201,7330.42857142858,7330.42857142857,20539.5,0.190067807782785,0.065208978007784
"436","Indonesia","IDN",1,4,3.8033130731724,16033.6428571428,16033.6428571429,36573.1428571429,0.322787411098008,0.132719603315223
"437","Indonesia","IDN",2,5,3.07733420862398,14782.2857142858,14782.2857142857,51355.4285714286,0.44235007854329,0.119562667445281
"438","Indonesia","IDN",3,6,3.44995771153152,13363.1428571428,13363.1428571429,64718.5714285714,0.55154618680301,0.109196108259721
"439","Indonesia","IDN",4,7,3.6545760833422,11714.1428571429,11714.1428571429,76432.7142857143,0.647676770260368,0.0961305834573579
"440","Indonesia","IDN",5,8,4.11780551578677,11173.0714285715,11173.0714285714,87605.7857142857,0.740546197541465,0.092869427281097
"441","Indonesia","IDN",6,9,4.45819085391674,9308.57142857147,9308.57142857143,96914.3571428571,0.81868699711681,0.0781407995753454
"442","Indonesia","IDN",7,10,4.97438333917491,7956.85714285715,7956.85714285714,104871.214285714,0.88652980702974,0.0678428099129299
"443","Indonesia","IDN",8,11,5.21186568732531,6775.99999999999,6776,111647.214285714,0.945977673210495,0.0594478661807544
