iso3,country,region,first_date,last_date,n_months,n_observed,n_corrected,n_estimated,span_years,pct_estimated,n_complete_seasons,first_season,last_season,n_gap_months,total_cases,mean_monthly_cases,median_monthly_cases,max_monthly_cases,cv_monthly,zero_month_fraction,seasonal_concentration,top3_month_share,peak_month,peak_to_trough_ratio,seasonality_signal,endemicity,strata_provisional
FJI,Fiji,Pacific Islands,2010-11-01,2026-07-01,189,176,9,4,15.663244353182751,0.021164021164021163,15,2010/2011,2024/2025,0,133472,706.2010582010577,362,4703,1.3456451989991836,0.005291005291005291,0.1033189200284532,0.424686915833555,3,5.386380832282478,moderate,endemic,TRUE
WSM,Samoa,Pacific Islands,2017-10-01,2026-07-01,106,93,10,3,8.747433264887064,0.02830188679245283,8,2017/2018,2024/2025,0,54440,513.5849056603777,31.5,5925,2.349014298706552,0.018867924528301886,0.09187559272700688,0.34640182863456104,8,7.223793677204659,weak,endemic,TRUE
SLB,Solomon Islands,Pacific Islands,2013-04-01,2026-07-01,136,123,8,5,13.248459958932239,0.03676470588235294,11,2013/2014,2025/2026,24,34395,252.9044117647056,34.5,4268,2.5464904383720093,0.08823529411764706,0.09633789028385052,0.381466609747961,10,11.742710120068612,weak,endemic,TRUE
NCL,New Caledonia,Pacific Islands,2011-09-01,2026-07-01,151,141,8,2,14.830937713894592,0.013245033112582781,11,2011/2012,2022/2023,28,24535,162.48344370860926,13,3247,2.620871637945998,0.18543046357615894,0.09556371433229581,0.392815322514991,3,20.12676056338031,weak,emerging,TRUE
AUS,Australia,Pacific Islands,2010-09-01,2026-07-01,179,167,11,1,15.83025325119781,0.00558659217877095,14,2010/2011,2024/2025,12,20870,116.59217877094976,104,349,0.6069103584707003,0.0111731843575419,0.08642765891647766,0.31173791680373253,1,2.3550239234449735,weak,endemic,TRUE
PYF,French Polynesia,Pacific Islands,2010-05-01,2026-07-01,147,134,10,3,16.16700889801506,0.02040816326530612,12,2010/2011,2025/2026,48,12940,88.02721088435374,44,432,1.0371448373423193,0.06802721088435375,0.08793282247414876,0.33346720773239247,1,1.7682352941176478,weak,endemic,TRUE
TON,Tonga,Pacific Islands,2014-05-01,2026-07-01,75,62,11,2,12.167008898015059,0.02666666666666667,6,2014/2015,2025/2026,72,5825,77.66666666666667,7,631,1.9405917990987145,0.17333333333333334,0.11965458520521788,0.473514155577067,3,20.415094339622613,moderate,emerging,TRUE
FSM,Micronesia (Federated States Of),Pacific Islands,2016-04-01,2026-07-01,112,99,10,3,10.247775496235455,0.026785714285714284,9,2016/2017,2025/2026,12,8294,74.05357142857143,6,2206,3.979594350794376,0.05357142857142857,0.10700088968844268,0.43638112903339,9,47.58490566037736,moderate,endemic,TRUE
MHL,Marshall Islands,Pacific Islands,2011-06-01,2026-07-01,79,76,0,3,15.082819986310746,0.0379746835443038,6,2011/2012,2025/2026,103,4890,61.898734177215204,6,775,2.0921889165732077,0.3670886075949367,0.13045973351999393,0.510939069832263,12,8.727272727272727,strong,emerging,TRUE
COK,Cook Islands,Pacific Islands,2014-01-01,2026-07-01,79,76,0,3,12.49555099247091,0.0379746835443038,6,2014/2015,2025/2026,72,3908,49.46835443037973,19,423,1.4694571570676755,0.05063291139240506,0.12355950646726237,0.492811722876619,3,11.509090909090906,strong,emerging,TRUE
