iso3,country,region,seasonality_signal,endemicity,seasonal_concentration,mean_monthly_cases,n_complete_seasons,zero_month_fraction,strata_provisional
WSM,Samoa,Pacific Islands,weak,endemic,0.09187559272700688,513.5849056603777,8,0.018867924528301886,TRUE
SLB,Solomon Islands,Pacific Islands,weak,endemic,0.09633789028385052,252.9044117647056,11,0.08823529411764706,TRUE
NCL,New Caledonia,Pacific Islands,weak,emerging,0.09556371433229581,162.48344370860926,11,0.18543046357615894,TRUE
AUS,Australia,Pacific Islands,weak,endemic,0.08642765891647766,116.59217877094976,14,0.0111731843575419,TRUE
PYF,French Polynesia,Pacific Islands,weak,endemic,0.08793282247414876,88.02721088435374,12,0.06802721088435375,TRUE
TON,Tonga,Pacific Islands,moderate,emerging,0.11965458520521788,77.66666666666667,6,0.17333333333333334,TRUE
FSM,Micronesia (Federated States Of),Pacific Islands,moderate,endemic,0.10700088968844268,74.05357142857143,9,0.05357142857142857,TRUE
MHL,Marshall Islands,Pacific Islands,strong,emerging,0.13045973351999393,61.898734177215204,6,0.3670886075949367,TRUE
COK,Cook Islands,Pacific Islands,strong,emerging,0.12355950646726237,49.46835443037973,6,0.05063291139240506,TRUE
KIR,Kiribati,Pacific Islands,moderate,emerging,0.11709103436675075,47.78000000000002,8,0.36,TRUE
PLW,Palau,Pacific Islands,weak,emerging,0.08591779204605644,38.7281553398058,8,0.14563106796116504,TRUE
VUT,Vanuatu,Pacific Islands,weak,emerging,0.09393441363740586,31.3076923076923,9,0.18803418803418803,TRUE
WLF,Wallis And Futuna,Pacific Islands,weak,emerging,0.09295039672663656,25.236363636363627,9,0.045454545454545456,TRUE
TUV,Tuvalu,Pacific Islands,strong,emerging,0.18153569985135246,16.313432835820898,5,0.3283582089552239,TRUE
BRA,Brazil,South America,strong,endemic,0.14031504044510631,177861.07894736828,15,0,TRUE
COL,Colombia,South America,weak,endemic,0.08443793636876702,8609.616161616157,16,0,TRUE
PER,Peru,South America,moderate,endemic,0.10148439138386242,5650.282722513098,15,0,TRUE
PRY,Paraguay,South America,moderate,endemic,0.10227786729186215,5565.445595854922,16,0,TRUE
ARG,Argentina,South America,strong,endemic,0.18404574985933478,4781.598958333339,16,0.03125,TRUE
BOL,Bolivia,South America,strong,endemic,0.12608526196171968,3988.229166666666,16,0,TRUE
VEN,Venezuela,South America,weak,endemic,0.08622826031773238,2765.016042780752,15,0.0374331550802139,TRUE
ECU,Ecuador,South America,weak,endemic,0.09678304550614672,1815.5238095238087,15,0,TRUE
GUY,Guyana,South America,weak,endemic,0.08538930344881028,1210.5240641711202,15,0,TRUE
GUF,French Guiana,South America,weak,emerging,0.09184215312634456,309.497142857143,13,0.12,TRUE
URY,Uruguay,South America,strong,emerging,0.17702088076801878,32.13157894736841,6,0.3026315789473684,TRUE
SUR,Suriname,South America,strong,emerging,0.12430670955552893,31.213235294117645,11,0.18382352941176472,TRUE
CHL,Chile,South America,strong,emerging,0.19392107447788132,2.5636363636363644,4,0.2545454545454545,TRUE
IND,India,South Asia,moderate,endemic,0.11673252595713234,10373.933673469377,16,0,TRUE
LKA,Sri Lanka,South Asia,weak,endemic,0.09131260344034936,4996.429292929291,16,0,TRUE
PAK,Pakistan,South Asia,strong,endemic,0.16789292874997533,4016.4162436548186,16,0.02030456852791878,TRUE
BGD,Bangladesh,South Asia,strong,emerging,0.175449578942933,3893.7817258883306,16,0.1218274111675127,TRUE
NPL,Nepal,South Asia,strong,endemic,0.16837804933421946,986.5989847715756,16,0.04568527918781726,TRUE
AFG,Afghanistan,South Asia,strong,emerging,0.1459741117222678,217.20000000000007,5,0.06153846153846154,TRUE
MDV,Maldives,South Asia,weak,endemic,0.09190277763850505,192.2626262626262,16,0,TRUE
BTN,Bhutan,South Asia,moderate,endemic,0.09882653280866077,68.0738255033557,12,0.04697986577181208,TRUE
BFA,Burkina Faso,Sub-Saharan Africa,strong,emerging,0.20837481004739505,4647.586206896552,7,0.12643678160919541,TRUE
ETH,Ethiopia,Sub-Saharan Africa,strong,emerging,0.20468383974067025,1018.2325581395352,3,0.11627906976744186,TRUE
ERI,Eritrea,Sub-Saharan Africa,weak,emerging,0.08818170996161505,865.7215189873415,6,0.012658227848101266,TRUE
REU,Reunion,Sub-Saharan Africa,strong,emerging,0.17142708088475642,573.8682170542637,10,0.13953488372093023,TRUE
KEN,Kenya,Sub-Saharan Africa,moderate,emerging,0.11249426564718873,276.66292134831497,7,0.1348314606741573,TRUE
MRT,Mauritania,Sub-Saharan Africa,moderate,emerging,0.09900375931356314,248.78431372549008,4,0,TRUE
SYC,Seychelles,Sub-Saharan Africa,moderate,emerging,0.11195146401455824,227.6268656716417,5,0.05970149253731343,TRUE
SEN,Senegal,Sub-Saharan Africa,strong,emerging,0.12840298576903092,222.9310344827584,7,0.034482758620689655,TRUE
CIV,Cote D'ivoire,Sub-Saharan Africa,strong,emerging,0.18121830199879313,200.4444444444445,4,0.07407407407407407,TRUE
