iso3,origin_date,horizon,target_date,.pred,.pred_lower50,.pred_upper50,.pred_lower90,.pred_upper90
MYS,2026-07-01,3,2026-10-01,5762,4726,7076,3560,13196
MYS,2026-07-01,4,2026-11-01,5985,4103,7524,3275,12961
MYS,2026-07-01,5,2026-12-01,6886,5442,9633,2834,15404
MYS,2026-07-01,6,2027-01-01,9692,6046,12651,3162,24713
NCL,2026-07-01,1,2026-08-01,62,32,232,0,5967
NCL,2026-07-01,2,2026-09-01,97,3,390,0,1129
NCL,2026-07-01,3,2026-10-01,104,74,204,30,454
NCL,2026-07-01,4,2026-11-01,200,85,313,23,417
NCL,2026-07-01,5,2026-12-01,69,55,357,21,423
NCL,2026-07-01,6,2027-01-01,87,1,592,0,851
NIC,2026-07-01,1,2026-08-01,7628,5409,12196,4103,14002
NIC,2026-07-01,2,2026-09-01,5330,4082,11684,2594,18505
NIC,2026-07-01,3,2026-10-01,8018,4242,12536,2959,14662
NIC,2026-07-01,4,2026-11-01,8309,4938,11209,2287,18047
NIC,2026-07-01,5,2026-12-01,6518,3909,8094,1721,13074
NIC,2026-07-01,6,2027-01-01,6550,3617,9213,2567,13926
NPL,2026-07-01,1,2026-08-01,1762,1449,2275,731,4855
NPL,2026-07-01,2,2026-09-01,2939,1890,3929,1006,30572
NPL,2026-07-01,3,2026-10-01,2538,1547,4166,961,18255
NPL,2026-07-01,4,2026-11-01,1360,1071,2407,414,4085
NPL,2026-07-01,5,2026-12-01,397,222,465,90,2043
NPL,2026-07-01,6,2027-01-01,104,75,160,23,7251
OMN,2026-07-01,1,2026-08-01,4,0,10,0,80
OMN,2026-07-01,2,2026-09-01,8,1,22,0,167
OMN,2026-07-01,3,2026-10-01,12,1,30,0,227
OMN,2026-07-01,4,2026-11-01,18,1,47,0,358
OMN,2026-07-01,5,2026-12-01,29,2,74,0,563
OMN,2026-07-01,6,2027-01-01,16,1,42,0,322
PAK,2026-07-01,1,2026-08-01,3008,2665,3259,2172,8731
PAK,2026-07-01,2,2026-09-01,8878,7398,9872,4741,90089
PAK,2026-07-01,3,2026-10-01,8726,7486,10602,5277,49052
PAK,2026-07-01,4,2026-11-01,4129,3780,4733,2008,32552
PAK,2026-07-01,5,2026-12-01,1457,1166,1719,462,9813
PAK,2026-07-01,6,2027-01-01,1902,271,2328,82,4148
PAN,2026-07-01,1,2026-08-01,1247,926,1927,634,2470
PAN,2026-07-01,2,2026-09-01,1245,853,1628,337,3168
PAN,2026-07-01,3,2026-10-01,1191,992,1733,518,3430
PAN,2026-07-01,4,2026-11-01,1294,812,1977,521,3157
PAN,2026-07-01,5,2026-12-01,1070,672,1661,415,2949
PAN,2026-07-01,6,2027-01-01,757,568,1745,435,9577
PER,2026-07-01,1,2026-08-01,1595,953,2760,410,4068
PER,2026-07-01,2,2026-09-01,1746,813,3371,299,44081
PER,2026-07-01,3,2026-10-01,2493,1777,3509,1534,7983
PER,2026-07-01,4,2026-11-01,2953,1719,5502,1099,16204
PER,2026-07-01,5,2026-12-01,3827,1569,6271,1243,52255
PER,2026-07-01,6,2027-01-01,3538,2300,5344,974,112237
PHL,2026-07-01,1,2026-08-01,25280,21111,27794,16081,28551
PHL,2026-07-01,2,2026-09-01,22810,19837,25778,13839,28094
PHL,2026-07-01,3,2026-10-01,18411,16018,20102,10681,22136
PHL,2026-07-01,4,2026-11-01,18592,15222,19998,7404,29345
PHL,2026-07-01,5,2026-12-01,13530,11579,15020,3548,25662
PHL,2026-07-01,6,2027-01-01,15364,10416,20795,7526,34285
PLW,2026-07-01,1,2026-08-01,6,4,7,2,10
PLW,2026-07-01,2,2026-09-01,7,5,8,2,10
PLW,2026-07-01,3,2026-10-01,6,5,7,3,8
PLW,2026-07-01,4,2026-11-01,4,3,6,1,7
PLW,2026-07-01,5,2026-12-01,4,1,6,1,7
PLW,2026-07-01,6,2027-01-01,1,1,1,0,2
PRI,2026-07-01,1,2026-08-01,152,130,188,99,261
PRI,2026-07-01,2,2026-09-01,180,147,205,98,374
PRI,2026-07-01,3,2026-10-01,204,150,274,128,822
PRI,2026-07-01,4,2026-11-01,257,126,319,90,818
PRI,2026-07-01,5,2026-12-01,197,72,274,45,578
PRI,2026-07-01,6,2027-01-01,122,77,283,28,666
PRY,2026-07-01,1,2026-08-01,742,578,1188,194,7949
PRY,2026-07-01,2,2026-09-01,823,599,1109,250,13166
PRY,2026-07-01,3,2026-10-01,1449,1261,2676,779,13211
PRY,2026-07-01,4,2026-11-01,1614,1267,5687,325,17170
PRY,2026-07-01,5,2026-12-01,2105,1824,10052,363,51920
PRY,2026-07-01,6,2027-01-01,4038,188,40560,35,1349913
PYF,2026-07-01,1,2026-08-01,20,15,26,0,40
PYF,2026-07-01,2,2026-09-01,20,16,25,0,32
PYF,2026-07-01,3,2026-10-01,18,13,23,0,28
PYF,2026-07-01,4,2026-11-01,20,16,30,8,44
PYF,2026-07-01,5,2026-12-01,20,12,41,4,57
PYF,2026-07-01,6,2027-01-01,22,8,298,2,502
REU,2026-07-01,1,2026-08-01,2,1,3,0,4
REU,2026-07-01,2,2026-09-01,1,1,2,0,2
REU,2026-07-01,3,2026-10-01,1,1,1,0,1
REU,2026-07-01,4,2026-11-01,1354,69,3300,0,8868
REU,2026-07-01,5,2026-12-01,474,327,645,89,886
REU,2026-07-01,6,2027-01-01,1503,768,2055,146,3863
SAU,2026-07-01,1,2026-08-01,168,124,186,76,672
SAU,2026-07-01,2,2026-09-01,114,93,152,42,685
SAU,2026-07-01,3,2026-10-01,164,81,306,25,633
SAU,2026-07-01,4,2026-11-01,195,137,233,118,463
SAU,2026-07-01,5,2026-12-01,396,350,634,209,1305
SAU,2026-07-01,6,2027-01-01,856,512,1302,74,4040
SDN,2026-07-01,1,2026-08-01,13368,11897,24631,2615,64514
SDN,2026-07-01,2,2026-09-01,25052,19377,38034,5930,832171
SDN,2026-07-01,3,2026-10-01,112066,60365,137941,55970,1372429
SDN,2026-07-01,4,2026-11-01,111032,46644,182195,43128,891956
SDN,2026-07-01,5,2026-12-01,25425,15882,55410,14262,545468
SDN,2026-07-01,6,2027-01-01,11479,7696,12224,1539,314392
SEN,2026-07-01,1,2026-08-01,454,395,586,379,898
SEN,2026-07-01,2,2026-09-01,686,640,1065,553,1237
